target_id,dealer_id,target_month,target_year,sales_target_units,revenue_target
344,5,8,2024,16,5065325776
345,5,9,2024,17,5135077936
346,5,10,2024,13,4476484545
347,5,11,2024,14,4835543062
348,5,12,2024,12,4054101144
349,5,1,2025,13,4119404263
350,5,2,2025,12,3910178268
351,5,3,2025,16,6554589712
352,5,4,2025,15,5815116705
353,5,5,2025,12,4420616172
354,5,6,2025,12,4018634760
355,5,7,2025,13,4597957208
356,5,8,2025,12,3866376048
357,5,9,2025,14,5148995572
358,5,10,2025,12,4845604584
359,5,11,2025,15,4941619500
360,5,12,2025,12,4510049352
361,6,1,2020,22,7234388304
362,6,2,2020,22,8009572670
363,6,3,2020,18,6190724088
364,6,4,2020,24,8165478312
365,6,5,2020,20,7800613440
366,6,6,2020,20,8307922960
367,6,7,2020,19,7804780461
368,6,8,2020,25,8874437700
369,6,9,2020,24,7574973816
370,6,10,2020,18,7515759942
371,6,11,2020,17,5121317524
372,6,12,2020,21,7117600056
373,6,1,2021,28,11182941980
374,6,2,2021,22,7253966016
375,6,3,2021,24,9172853328
376,6,4,2021,24,7299813384
377,6,5,2021,25,7700344950
378,6,6,2021,23,7902283903
379,6,7,2021,24,9932835096
380,6,8,2021,22,9045608550
381,6,9,2021,24,7940742168
382,6,10,2021,24,9575019504
383,6,11,2021,26,10206863030
384,6,12,2021,26,10229535810
385,6,1,2022,28,9949510480
386,6,2,2022,29,10379866470
387,6,3,2022,26,9933935934
388,6,4,2022,24,7759856856
389,6,5,2022,25,10347798575
390,6,6,2022,26,8643136528
391,6,7,2022,26,9921076152
392,6,8,2022,27,9234836973
393,6,9,2022,21,7967172234
394,6,10,2022,24,9952895568
395,6,11,2022,23,9276590989
396,6,12,2022,26,8814987324
397,6,1,2023,21,7149127188
398,6,2,2023,29,8755461166
399,6,3,2023,28,10128660164
400,6,4,2023,29,9328225608
401,6,5,2023,28,11542431936
402,6,6,2023,27,8121840246
403,6,7,2023,29,12110830621
404,6,8,2023,25,9236950625
405,6,9,2023,27,9464788683
406,6,10,2023,25,10050737725
407,6,11,2023,21,6665745912
408,6,12,2023,25,9876894000
409,6,1,2024,22,7853811724
410,6,2,2024,20,7685345320
411,6,3,2024,22,7620404748
412,6,4,2024,28,9210194504
413,6,5,2024,29,10431903432
414,6,6,2024,21,6851552190
415,6,7,2024,28,11432483188
416,6,8,2024,20,8150298060
417,6,9,2024,27,8927949033
418,6,10,2024,27,10774885788
419,6,11,2024,29,9387698257
420,6,12,2024,29,11838288534
421,6,1,2025,29,10790467668
422,6,2,2025,22,6838498282
423,6,3,2025,20,6858376500
424,6,4,2025,29,9066156726
425,6,5,2025,24,8157746568
426,6,6,2025,24,8559730104
427,6,7,2025,29,9560019447
428,6,8,2025,26,8767633784
429,6,9,2025,20,7043335160
430,6,10,2025,27,9009135414
431,6,11,2025,20,7376190880
432,6,12,2025,24,7816405464
433,7,1,2020,27,10427159268
434,7,2,2020,28,10359478640
435,7,3,2020,40,16680064560
436,7,4,2020,27,8442997956
437,7,5,2020,37,11813292549
438,7,6,2020,35,11599236285
439,7,7,2020,27,10501079355
440,7,8,2020,32,10473532096
441,7,9,2020,31,10142828310
442,7,10,2020,34,11620138962
443,7,11,2020,33,10743033213
444,7,12,2020,40,13890102040
445,7,1,2021,45,15208064685
446,7,2,2021,44,16446805232
447,7,3,2021,46,15999693504
448,7,4,2021,44,14877622848
449,7,5,2021,45,18517663170
450,7,6,2021,32,13020466112
451,7,7,2021,45,17383050315
452,7,8,2021,38,15282188946
453,7,9,2021,47,15986209217
454,7,10,2021,33,10486732278
455,7,11,2021,40,13913828920
456,7,12,2021,38,12057163906
457,7,1,2022,36,12835732716
458,7,2,2022,47,14733551023
459,7,3,2022,34,10702758068
460,7,4,2022,39,15265742895
461,7,5,2022,39,15787434078
462,7,6,2022,39,15990887796
463,7,7,2022,38,12629079030
464,7,8,2022,42,14067102714
465,7,9,2022,37,14127465800
466,7,10,2022,38,13003152892
467,7,11,2022,33,13157749077
468,7,12,2022,34,12736671898
469,7,1,2023,45,16202652030
470,7,2,2023,38,13189548516
471,7,3,2023,36,12969762552
472,7,4,2023,35,11371957870
473,7,5,2023,37,11266043790
474,7,6,2023,32,10134695072
475,7,7,2023,39,15628597101
476,7,8,2023,35,10653418370
477,7,9,2023,41,17003282692
478,7,10,2023,35,13931007965
479,7,11,2023,45,14682692565
480,7,12,2023,33,10497881361
481,7,1,2024,43,13618213434
482,7,2,2024,36,11662945164
483,7,3,2024,44,16563632624
484,7,4,2024,46,17689677476
485,7,5,2024,39,14895681840
486,7,6,2024,33,11740720299
487,7,7,2024,43,12907102052
488,7,8,2024,47,16730595452
489,7,9,2024,43,15326737981
490,7,10,2024,35,12847091215
491,7,11,2024,47,18268298400
492,7,12,2024,32,10720076192
493,7,1,2025,46,19209301138
494,7,2,2025,35,11213326215
495,7,3,2025,36,13380551100
496,7,4,2025,38,15233374944
497,7,5,2025,43,13693021566
498,7,6,2025,41,15688060379
499,7,7,2025,47,18658264779
500,7,8,2025,47,19023202624
501,7,9,2025,34,11456630990
502,7,10,2025,37,13478696663
503,7,11,2025,32,10354425088
504,7,12,2025,38,12446069966
505,8,1,2020,28,9247317380
506,8,2,2020,39,13930857876
507,8,3,2020,40,16612885600
508,8,4,2020,30,9813181170
509,8,5,2020,37,12093275101
510,8,6,2020,38,15059035542
511,8,7,2020,29,9068421597
512,8,8,2020,31,12946225053
513,8,9,2020,34,13395041914
514,8,10,2020,32,11586441664
515,8,11,2020,31,11394307734
516,8,12,2020,35,13574417010
517,8,1,2021,45,13919329710
518,8,2,2021,34,11025015950
519,8,3,2021,43,13094425231
520,8,4,2021,45,17331415020
521,8,5,2021,46,15965829868
522,8,6,2021,39,12085459230
523,8,7,2021,43,17292488399
524,8,8,2021,36,11072984040
525,8,9,2021,44,16792959524
526,8,10,2021,32,12244392288
527,8,11,2021,39,12876114147
528,8,12,2021,33,12658059975
529,8,1,2022,45,16725018600
530,8,2,2022,43,15212800451
531,8,3,2022,39,12806673477
532,8,4,2022,40,15830401480
533,8,5,2022,42,12661898214
534,8,6,2022,46,14672059444
535,8,7,2022,42,15854711208
536,8,8,2022,35,14200892650
537,8,9,2022,45,15000894450
538,8,10,2022,45,17233142490
539,8,11,2022,32,10237374496
540,8,12,2022,38,12926019656
541,8,1,2023,40,15335232600
542,8,2,2023,47,18297680450
543,8,3,2023,37,12305398617
544,8,4,2023,45,17217982935
545,8,5,2023,32,10567673088
546,8,6,2023,41,16185979303
547,8,7,2023,42,15502999722
548,8,8,2023,44,13665701500
549,8,9,2023,34,13007587944
550,8,10,2023,44,17020467508
551,8,11,2023,38,15951067720
552,8,12,2023,47,16470256953
553,8,1,2024,41,13852189234
554,8,2,2024,39,15556866819
555,8,3,2024,47,19272327769
556,8,4,2024,43,16056768546
557,8,5,2024,35,12212172770
558,8,6,2024,45,14357997225
559,8,7,2024,39,16003754598
560,8,8,2024,47,18169673224
561,8,9,2024,39,15033256641
562,8,10,2024,35,12605977055
563,8,11,2024,47,18679152331
564,8,12,2024,40,15412989640
565,8,1,2025,46,16675741934
566,8,2,2025,38,13709406414
567,8,3,2025,38,14548830328
568,8,4,2025,42,16636892580
569,8,5,2025,45,16652324475
570,8,6,2025,39,13407213807
571,8,7,2025,32,11726314720
572,8,8,2025,32,12455493824
573,8,9,2025,35,11119016300
574,8,10,2025,40,13290880040
575,8,11,2025,47,18252605429
576,8,12,2025,33,12621391695
577,9,1,2020,18,7448352984
578,9,2,2020,17,6552761894
579,9,3,2020,23,8227852123
580,9,4,2020,20,8362633940
581,9,5,2020,20,6178992900
582,9,6,2020,22,8923254912
583,9,7,2020,22,8089870030
584,9,8,2020,24,7219587264
585,9,9,2020,24,9510475488
586,9,10,2020,22,8403130252
587,9,11,2020,24,7861685976
588,9,12,2020,20,7929319360
589,9,1,2021,20,7898511400
590,9,2,2021,25,9384038525
591,9,3,2021,20,8265461920
592,9,4,2021,20,7574138540
593,9,5,2021,29,9146260787
594,9,6,2021,27,10475568810
595,9,7,2021,29,10474728979
596,9,8,2021,24,7389192768
597,9,9,2021,25,9906508450
598,9,10,2021,24,9438401856
599,9,11,2021,28,10455587744
600,9,12,2021,20,8097542260
601,9,1,2022,21,8247506694
602,9,2,2022,25,9869429000
603,9,3,2022,29,12001976569
604,9,4,2022,27,8408138715
605,9,5,2022,22,8756643500
606,9,6,2022,20,7899847060
607,9,7,2022,24,8254427640
608,9,8,2022,23,7986848348
609,9,9,2022,25,9801244200
610,9,10,2022,23,9415409697
611,9,11,2022,20,6605695140
612,9,12,2022,21,8043900543
613,9,1,2023,29,9869454058
614,9,2,2023,29,11474782118
615,9,3,2023,28,10444595616
616,9,4,2023,23,9565449208
617,9,5,2023,23,7541690984
618,9,6,2023,24,7946034984
619,9,7,2023,22,8232446464
620,9,8,2023,22,6829645592
621,9,9,2023,28,8884074276
622,9,10,2023,25,8201637275
623,9,11,2023,26,9269017004
624,9,12,2023,24,8052011016
625,9,1,2024,22,8429437962
626,9,2,2024,29,11539923571
627,9,3,2024,25,9919078850
628,9,4,2024,26,9896821714
629,9,5,2024,21,8180335275
630,9,6,2024,24,9686967336
631,9,7,2024,20,8041308160
632,9,8,2024,23,7729808490
633,9,9,2024,26,8275071662
634,9,10,2024,26,7840572662
635,9,11,2024,23,7955224820
636,9,12,2024,27,11048747544
637,9,1,2025,20,8098708720
638,9,2,2025,24,8891003088
639,9,3,2025,20,7105966240
640,9,4,2025,29,9195552406
641,9,5,2025,28,10924784808
642,9,6,2025,26,9115980354
643,9,7,2025,22,6757694042
644,9,8,2025,25,10278434800
645,9,9,2025,29,10915099779
646,9,10,2025,26,9875594508
647,9,11,2025,26,8197564570
648,9,12,2025,25,8518739150
649,10,1,2020,13,5189828813
650,10,2,2020,14,5554343186
651,10,3,2020,12,4207554600
652,10,4,2020,13,5362501534
653,10,5,2020,14,4540058054
654,10,6,2020,13,4495778183
655,10,7,2020,11,3731080848
656,10,8,2020,14,4509165920
657,10,9,2020,10,3109677020
658,10,10,2020,12,4416874152
659,10,11,2020,12,3910291788
660,10,12,2020,12,3848885508
661,10,1,2021,13,4139385081
662,10,2,2021,12,4721077644
663,10,3,2021,17,6008203563
664,10,4,2021,15,6179715225
665,10,5,2021,16,5152584544
666,10,6,2021,12,4570357452
667,10,7,2021,17,5400473674
668,10,8,2021,17,6022548027
669,10,9,2021,16,4870991472
670,10,10,2021,14,5304224912
671,10,11,2021,17,6160872233
672,10,12,2021,17,6423047899
673,10,1,2022,13,5140142787
674,10,2,2022,17,6497086537
675,10,3,2022,14,5245921702
676,10,4,2022,12,4003596000
677,10,5,2022,16,5882902400
678,10,6,2022,13,4718993305
679,10,7,2022,16,6693341488
680,10,8,2022,12,4311960372
681,10,9,2022,16,4944794800
682,10,10,2022,13,5277018500
683,10,11,2022,17,5650506937
684,10,12,2022,17,6223775293
685,10,1,2023,16,6303441424
686,10,2,2023,13,5356802607
687,10,3,2023,14,4638997706
688,10,4,2023,14,5606017928
689,10,5,2023,14,5725196414
690,10,6,2023,16,5047850704
691,10,7,2023,17,7031561199
692,10,8,2023,16,5163556240
693,10,9,2023,16,6170453088
694,10,10,2023,13,3971595069
695,10,11,2023,14,5544184184
696,10,12,2023,16,5669977840
697,10,1,2024,14,4289959212
698,10,2,2024,12,4143786276
699,10,3,2024,15,5919502365
700,10,4,2024,13,5105325862
701,10,5,2024,13,5431400624
702,10,6,2024,14,5327294028
703,10,7,2024,14,5823650588
704,10,8,2024,12,4007394372
705,10,9,2024,15,5169143790
706,10,10,2024,17,5763754681
707,10,11,2024,14,4972902802
708,10,12,2024,16,5240938896
709,10,1,2025,12,3951304284
710,10,2,2025,14,4783067100
711,10,3,2025,13,4581323396
712,10,4,2025,13,5201605136
713,10,5,2025,16,6239591136
714,10,6,2025,15,6131840385
715,10,7,2025,13,4873484226
716,10,8,2025,14,4549789244
717,10,9,2025,17,5487862072
718,10,10,2025,14,4887027544
719,10,11,2025,15,5365577250
720,10,12,2025,16,4980991328
721,11,1,2020,37,14448226607
722,11,2,2020,34,10813891828
723,11,3,2020,30,12089802570
724,11,4,2020,36,12889483308
725,11,5,2020,38,14035269106
726,11,6,2020,28,9569711732
727,11,7,2020,28,8979496372
728,11,8,2020,40,15313086640
729,11,9,2020,38,13701570168
730,11,10,2020,40,13095226160
731,11,11,2020,40,13361174800
732,11,12,2020,39,12314949582
733,11,1,2021,32,11395172928
734,11,2,2021,47,16077219923
735,11,3,2021,38,15767661670
736,11,4,2021,34,14023494174
737,11,5,2021,34,14113878006
738,11,6,2021,32,12544857888
739,11,7,2021,43,14771266346
740,11,8,2021,45,18346138470
741,11,9,2021,44,17244269856
742,11,10,2021,41,14583476345
743,11,11,2021,43,15176999769
744,11,12,2021,47,17425571198
745,11,1,2022,42,16744054488
746,11,2,2022,39,14639983761
747,11,3,2022,35,13048718795
748,11,4,2022,41,16164799277
749,11,5,2022,36,13215342132
750,11,6,2022,46,17407638918
751,11,7,2022,35,11573131955
752,11,8,2022,33,13424077590
753,11,9,2022,39,15148918512
754,11,10,2022,45,14165766675
755,11,11,2022,36,11839116744
756,11,12,2022,45,17833911885
757,11,1,2023,32,12666145280
758,11,2,2023,43,17303357337
759,11,3,2023,44,14012965780
760,11,4,2023,41,14057922560
761,11,5,2023,35,11479421135
762,11,6,2023,35,12969077975
763,11,7,2023,38,13360780620
764,11,8,2023,39,14739339420
765,11,9,2023,46,14623727428
766,11,10,2023,46,14680929578
767,11,11,2023,45,14863211190
768,11,12,2023,38,13633000498
769,11,1,2024,36,11168774424
770,11,2,2024,46,14020029868
771,11,3,2024,33,11457242544
772,11,4,2024,42,14714058996
773,11,5,2024,38,13433396036
774,11,6,2024,32,13045676992
775,11,7,2024,45,15573220425
776,11,8,2024,34,14016498368
777,11,9,2024,45,17281183005
778,11,10,2024,34,10791824570
779,11,11,2024,36,15094094796
780,11,12,2024,36,12735621612
781,11,1,2025,44,14998381376
782,11,2,2025,36,11647488672
783,11,3,2025,41,16170858626
784,11,4,2025,41,13649573630
785,11,5,2025,32,10574526944
786,11,6,2025,46,14456298330
787,11,7,2025,37,14033662364
788,11,8,2025,35,13643941255
789,11,9,2025,42,15175919178
790,11,10,2025,40,14840194160
791,11,11,2025,35,11294615640
792,11,12,2025,34,10373901126
793,12,1,2020,22,7648527348
794,12,2,2020,23,8165094415
795,12,3,2020,23,8030981277
796,12,4,2020,19,6677110188
797,12,5,2020,22,7486092526
798,12,6,2020,25,8496605300
799,12,7,2020,18,5791990248
800,12,8,2020,17,6044964482
801,12,9,2020,21,6939888081
802,12,10,2020,17,5253875381
803,12,11,2020,18,6666216390
804,12,12,2020,18,5409186948
805,12,1,2021,23,8086399639
806,12,2,2021,29,12066004190
807,12,3,2021,29,11078616105
808,12,4,2021,27,11232365688
809,12,5,2021,24,10058875272
810,12,6,2021,20,7656478500
811,12,7,2021,29,9429300468
812,12,8,2021,27,9554395716
813,12,9,2021,22,8530878642
814,12,10,2021,27,10218389193
815,12,11,2021,29,10604693233
816,12,12,2021,27,11292480027
817,12,1,2022,28,8591216536
818,12,2,2022,22,8079773724
819,12,3,2022,25,9897815750
820,12,4,2022,22,7977272666
821,12,5,2022,28,10287407284
822,12,6,2022,26,10136705826
823,12,7,2022,21,7884356970
824,12,8,2022,25,8128163700
825,12,9,2022,26,9780699734
826,12,10,2022,28,9428225324
827,12,11,2022,21,7811998971
828,12,12,2022,26,8278549240
829,12,1,2023,22,8415076758
830,12,2,2023,22,6983929722
831,12,3,2023,26,10367627608
832,12,4,2023,26,10820290702
833,12,5,2023,25,10360785475
834,12,6,2023,29,11232585718
835,12,7,2023,22,7997227436
836,12,8,2023,23,7803277850
837,12,9,2023,26,9108470956
838,12,10,2023,21,7542782793
839,12,11,2023,26,9417391854
840,12,12,2023,25,8351267875
841,12,1,2024,22,6794053838
842,12,2,2024,21,8311013319
843,12,3,2024,26,8025119102
844,12,4,2024,23,8703696409
845,12,5,2024,24,8925594096
846,12,6,2024,27,10655337321
847,12,7,2024,24,10007275800
848,12,8,2024,27,10514317671
849,12,9,2024,27,9327381876
850,12,10,2024,24,8342342640
851,12,11,2024,27,11223992934
852,12,12,2024,23,7690121806
853,12,1,2025,23,6980390750
854,12,2,2025,21,8541536304
855,12,3,2025,28,9130286900
856,12,4,2025,28,8672217092
857,12,5,2025,26,10722915216
858,12,6,2025,26,10461483396
859,12,7,2025,22,6727548960
860,12,8,2025,21,8785365372
861,12,9,2025,20,6627261740
862,12,10,2025,20,7034151380
863,12,11,2025,23,8230269377
864,12,12,2025,23,7716545103
865,13,1,2020,19,6771071249
866,13,2,2020,24,7793731200
867,13,3,2020,23,9452235066
868,13,4,2020,19,6138681044
869,13,5,2020,22,8773158834
870,13,6,2020,19,6648981980
871,13,7,2020,20,7859283160
