inventory_id,dealer_id,vehicle_id,stock_available,stock_in,stock_out,inventory_month
160,3,180,18,7,5,2025-07-01
161,3,180,18,19,18,2024-10-01
162,3,180,8,18,15,2024-08-01
163,3,180,22,16,6,2024-05-01
164,3,180,21,14,13,2024-01-01
165,3,123,23,5,3,2024-11-01
166,3,123,23,18,13,2024-03-01
167,3,123,29,4,4,2024-01-01
168,3,123,26,24,15,2024-05-01
169,3,123,24,17,8,2024-04-01
170,3,123,2,20,24,2025-12-01
171,3,123,21,16,2,2025-05-01
172,3,123,15,16,4,2025-10-01
173,3,123,10,8,2,2025-06-01
174,3,123,28,20,14,2025-02-01
175,4,102,14,16,10,2024-04-01
176,4,102,3,2,7,2025-05-01
177,4,102,45,25,8,2025-03-01
178,4,102,27,22,16,2025-11-01
179,4,102,14,20,25,2025-04-01
180,4,102,32,23,4,2024-12-01
181,4,102,6,10,10,2024-10-01
182,4,102,19,10,1,2024-06-01
183,4,177,27,4,0,2025-12-01
184,4,177,20,24,7,2025-06-01
185,4,177,23,19,12,2024-10-01
186,4,177,34,23,17,2025-09-01
187,4,177,17,13,17,2024-01-01
188,4,177,33,22,18,2024-02-01
189,4,177,40,19,9,2024-09-01
190,4,177,31,24,1,2024-08-01
191,4,177,28,15,12,2025-03-01
192,4,128,26,13,0,2024-07-01
193,4,128,3,4,8,2024-03-01
194,4,128,17,14,14,2025-08-01
195,4,128,31,9,8,2025-10-01
196,4,128,10,24,28,2024-01-01
197,4,128,27,25,8,2025-11-01
198,4,110,0,7,12,2025-08-01
199,4,110,16,16,17,2024-10-01
200,4,110,25,23,20,2025-04-01
201,4,110,25,6,8,2024-04-01
202,4,110,20,24,14,2025-07-01
203,4,110,26,13,6,2024-07-01
204,4,110,0,14,19,2024-12-01
205,4,110,26,18,14,2024-09-01
206,4,110,13,12,7,2024-02-01
207,4,110,3,6,8,2025-11-01
208,4,184,5,10,13,2025-07-01
209,4,184,16,15,16,2025-04-01
210,4,184,27,7,9,2024-06-01
211,4,184,27,15,9,2025-01-01
212,4,184,4,5,3,2025-12-01
213,4,184,23,14,7,2024-03-01
214,4,184,14,18,5,2025-06-01
215,4,184,34,6,0,2024-04-01
216,4,184,16,2,0,2024-02-01
217,4,184,13,2,2,2025-09-01
218,4,161,27,19,4,2025-11-01
219,4,161,27,7,5,2024-12-01
220,4,161,17,25,27,2025-03-01
221,4,161,11,20,17,2025-04-01
222,4,161,17,7,7,2025-10-01
223,4,161,37,14,5,2025-07-01
224,4,161,32,13,1,2024-06-01
225,4,161,27,14,8,2025-02-01
226,4,161,40,19,6,2024-10-01
227,4,136,9,18,16,2024-04-01
228,4,136,26,16,8,2024-08-01
229,4,136,38,16,3,2025-10-01
230,4,136,17,16,18,2024-09-01
231,4,136,24,19,4,2024-10-01
232,4,136,16,5,5,2025-06-01
233,4,136,21,3,8,2025-03-01
234,4,136,16,17,8,2025-08-01
235,4,136,5,19,16,2024-02-01
236,4,136,5,25,25,2024-01-01
237,4,136,16,22,26,2024-11-01
238,5,165,43,25,8,2025-01-01
239,5,165,38,24,3,2025-04-01
240,5,165,22,19,8,2024-08-01
241,5,165,12,22,25,2024-03-01
242,5,165,38,19,4,2025-09-01
243,5,165,34,20,7,2025-03-01
244,5,165,17,7,4,2024-10-01
245,5,165,25,10,12,2024-04-01
246,5,165,22,22,0,2025-12-01
247,5,165,4,19,21,2025-10-01
248,5,165,6,19,13,2024-09-01
249,5,158,12,25,19,2025-07-01
250,5,158,39,19,7,2025-02-01
251,5,158,16,15,7,2024-10-01
252,5,158,19,5,5,2024-01-01
253,5,158,12,18,9,2025-11-01
254,5,158,26,11,5,2025-10-01
255,5,158,8,11,12,2025-05-01
256,5,158,12,12,4,2025-09-01
257,5,158,37,22,0,2025-06-01
258,5,158,35,25,2,2025-08-01
259,5,158,20,8,5,2024-06-01
260,5,126,27,16,4,2025-10-01
261,5,126,18,12,9,2025-03-01
262,5,126,20,3,4,2025-02-01
263,5,126,28,10,7,2025-06-01
264,5,126,11,23,14,2025-04-01
265,5,126,8,8,9,2024-09-01
266,5,126,16,17,21,2025-07-01
267,5,126,31,8,3,2024-07-01
268,5,140,33,23,19,2025-08-01
269,5,140,10,5,1,2024-09-01
270,5,140,37,10,0,2024-01-01
271,5,140,27,2,2,2024-03-01
272,5,140,24,15,2,2024-10-01
273,5,140,36,20,2,2024-02-01
274,5,140,13,10,12,2025-04-01
275,5,110,22,20,0,2024-06-01
276,5,110,0,11,14,2024-01-01
277,5,110,28,15,2,2024-07-01
278,5,110,11,14,3,2024-11-01
279,5,110,25,11,10,2024-08-01
280,5,110,26,13,14,2025-08-01
281,5,110,15,16,13,2025-07-01
282,5,110,20,24,9,2024-05-01
283,5,110,19,4,1,2025-10-01
284,5,110,42,19,6,2025-04-01
285,5,110,32,8,0,2024-09-01
286,5,103,32,23,1,2024-06-01
287,5,103,43,24,3,2024-10-01
288,5,103,31,23,4,2025-02-01
289,5,103,23,14,14,2025-05-01
290,5,103,34,15,8,2025-12-01
291,5,103,22,18,10,2024-02-01
292,5,103,4,8,11,2025-06-01
293,5,103,12,19,11,2025-04-01
294,5,103,23,23,10,2025-03-01
295,5,103,34,21,4,2024-07-01
296,5,163,22,8,10,2025-11-01
297,5,163,31,19,13,2025-02-01
298,5,163,18,2,2,2025-12-01
299,5,163,14,17,10,2025-03-01
300,5,163,33,21,15,2024-08-01
301,5,163,9,5,3,2024-05-01
302,5,163,6,6,11,2024-07-01
303,5,163,24,24,13,2024-10-01
304,5,163,25,23,2,2025-09-01
305,5,163,6,10,14,2024-03-01
306,5,163,20,16,19,2025-04-01
307,5,163,33,7,1,2025-07-01
308,5,115,33,25,7,2024-05-01
309,5,115,29,13,2,2024-03-01
310,5,115,21,20,6,2025-10-01
311,5,115,18,16,6,2025-05-01
312,5,115,25,8,4,2025-02-01
313,5,115,11,22,20,2025-11-01
314,5,115,24,13,5,2024-12-01
315,5,115,21,20,16,2025-12-01
316,5,115,18,4,0,2025-03-01
317,5,115,43,18,1,2024-02-01
318,5,115,21,4,6,2024-09-01
319,5,115,11,9,9,2024-01-01
320,6,184,22,24,20,2024-12-01
321,6,184,18,11,9,2024-02-01
322,6,184,20,17,0,2025-06-01
323,6,184,0,6,8,2025-07-01
324,6,184,29,5,5,2025-11-01
325,6,184,1,6,11,2025-03-01
326,6,184,18,23,24,2025-05-01
327,6,184,22,21,2,2024-11-01
328,6,184,18,19,13,2024-05-01
329,6,184,27,10,8,2025-10-01
330,6,184,21,11,15,2024-10-01
331,6,184,7,3,3,2025-12-01
332,6,129,6,7,8,2025-03-01
333,6,129,15,9,6,2024-03-01
334,6,129,31,16,0,2025-07-01
335,6,129,25,14,8,2025-10-01
336,6,129,16,22,24,2025-08-01
337,6,129,9,24,22,2024-12-01
338,6,129,10,25,19,2024-11-01
339,6,129,7,7,6,2024-05-01
340,6,129,15,7,2,2025-11-01
341,6,129,1,4,8,2025-04-01
342,6,129,22,16,7,2024-10-01
343,6,129,27,2,5,2024-09-01
344,6,111,32,18,12,2025-05-01
345,6,111,19,14,11,2025-03-01
346,6,111,22,8,4,2024-09-01
347,6,111,14,20,20,2025-07-01
348,6,111,19,22,6,2025-11-01
349,6,111,4,20,20,2025-04-01
350,6,111,28,14,15,2025-12-01
351,6,106,12,13,4,2025-05-01
352,6,106,26,2,2,2024-02-01
353,6,106,16,4,8,2024-05-01
354,6,106,10,20,15,2025-09-01
355,6,106,3,17,21,2024-04-01
356,6,106,18,23,10,2024-07-01
357,6,106,12,12,3,2025-02-01
358,6,153,2,2,0,2025-09-01
359,6,153,33,15,7,2025-02-01
360,6,153,12,3,7,2025-06-01
361,6,153,19,24,11,2025-05-01
362,6,153,17,19,11,2024-11-01
363,6,153,10,5,1,2024-09-01
364,6,153,0,12,15,2025-01-01
365,6,153,19,19,2,2024-02-01
366,6,153,2,17,21,2024-04-01
367,6,153,35,12,5,2024-10-01
368,6,153,20,9,13,2025-07-01
369,6,153,26,17,6,2024-03-01
370,6,169,0,8,13,2024-03-01
371,6,169,28,11,12,2024-06-01
372,6,169,36,12,0,2025-07-01
373,6,169,34,10,3,2025-03-01
374,6,169,14,25,18,2024-08-01
375,6,169,35,20,15,2024-01-01
376,6,169,26,20,16,2025-11-01
377,6,169,11,22,12,2024-02-01
378,6,169,22,19,0,2025-04-01
379,6,169,13,15,12,2024-04-01
380,6,169,28,2,4,2024-05-01
381,6,169,21,10,7,2025-08-01
382,7,126,20,9,7,2024-12-01
383,7,126,8,2,3,2025-01-01
384,7,126,12,14,10,2025-09-01
385,7,126,28,19,10,2025-02-01
386,7,126,2,9,9,2025-06-01
387,7,126,6,15,15,2025-04-01
388,7,126,32,5,0,2024-02-01
389,7,126,18,2,6,2024-06-01
390,7,126,38,17,2,2025-11-01
391,7,129,31,2,0,2024-07-01
392,7,129,18,12,16,2024-03-01
393,7,129,18,12,17,2024-04-01
394,7,129,31,25,11,2025-08-01
395,7,129,22,13,1,2025-06-01
396,7,129,44,21,4,2024-01-01
397,7,129,20,17,20,2025-07-01
398,7,129,35,22,3,2025-03-01
399,7,129,13,3,0,2024-08-01
400,7,104,37,10,1,2025-10-01
401,7,104,16,10,3,2024-03-01
402,7,104,27,18,18,2024-10-01
403,7,104,13,21,16,2024-04-01
404,7,104,1,10,15,2025-11-01
405,7,104,29,14,4,2024-02-01
406,7,104,13,24,22,2025-07-01
407,7,104,2,18,16,2025-05-01
408,7,104,16,8,13,2024-09-01
409,7,104,22,18,14,2024-11-01
410,7,180,35,24,15,2025-02-01
411,7,180,22,11,4,2024-03-01
412,7,180,21,25,21,2024-08-01
413,7,180,31,17,14,2024-06-01
414,7,180,35,18,11,2025-07-01
415,7,180,26,3,4,2025-11-01
416,7,180,0,15,16,2024-11-01
417,7,180,16,8,4,2025-09-01
418,7,180,26,25,23,2024-12-01
419,7,173,22,9,8,2024-08-01
420,7,173,13,16,13,2024-07-01
421,7,173,10,19,20,2025-09-01
422,7,173,11,10,14,2024-05-01
423,7,173,11,6,10,2025-01-01
424,7,173,1,16,18,2025-03-01
425,7,173,17,16,3,2024-01-01
426,7,173,27,18,13,2024-12-01
427,7,173,29,3,3,2025-05-01
428,7,173,34,25,2,2024-04-01
429,7,173,16,6,6,2025-06-01
430,7,176,5,10,8,2024-12-01
431,7,176,0,4,7,2024-08-01
432,7,176,37,13,1,2024-10-01
433,7,176,13,15,9,2025-08-01
434,7,176,24,22,1,2025-04-01
435,7,176,12,17,10,2024-06-01
436,7,176,9,16,13,2024-11-01
437,7,176,32,24,14,2025-10-01
438,7,176,26,20,8,2024-01-01
439,7,176,8,16,18,2024-05-01
440,7,176,31,16,2,2025-12-01
441,7,108,23,17,15,2024-08-01
442,7,108,9,10,7,2024-06-01
443,7,108,18,24,14,2024-10-01
444,7,108,29,18,11,2024-04-01
445,7,108,45,17,1,2025-02-01
446,7,108,27,16,2,2024-02-01
447,7,108,27,9,3,2024-01-01
448,8,123,15,7,12,2025-08-01
449,8,123,31,16,15,2025-11-01
450,8,123,23,4,2,2024-12-01
451,8,123,2,2,5,2024-11-01
452,8,123,35,17,2,2024-10-01
453,8,123,2,4,4,2025-10-01
454,8,123,23,22,0,2024-06-01
455,8,123,39,19,9,2024-07-01
456,8,123,19,11,0,2025-02-01
457,8,123,45,20,0,2024-09-01
458,8,123,33,14,0,2025-12-01
459,8,123,8,6,1,2025-05-01
460,8,115,0,14,19,2025-12-01
461,8,115,11,2,0,2024-06-01
462,8,115,38,15,0,2024-12-01
463,8,115,0,15,19,2024-08-01
464,8,115,41,19,3,2025-06-01
465,8,115,18,20,6,2025-08-01
466,8,115,7,14,7,2025-09-01
467,8,115,41,25,13,2025-02-01
468,8,115,32,20,18,2024-02-01
469,8,115,39,24,6,2024-01-01
470,8,115,26,17,2,2024-09-01
471,8,154,0,12,13,2025-09-01
472,8,154,16,6,0,2024-12-01
473,8,154,20,2,3,2025-06-01
474,8,154,0,3,8,2024-11-01
475,8,154,29,2,3,2025-05-01
476,8,154,8,8,11,2025-08-01
477,8,154,36,15,6,2024-03-01
478,8,154,28,16,16,2024-08-01
479,8,114,1,6,9,2024-02-01
480,8,114,54,25,0,2025-09-01
481,8,114,9,11,12,2024-09-01
482,8,114,21,8,8,2025-04-01
483,8,114,30,18,10,2025-08-01
484,8,114,26,12,10,2025-05-01
485,8,114,23,5,7,2024-05-01
486,8,114,22,9,4,2024-03-01
487,8,114,29,7,0,2025-06-01
488,8,114,17,22,26,2025-11-01
489,8,172,37,21,14,2024-06-01
490,8,172,29,23,5,2025-05-01
491,8,172,11,13,4,2024-05-01
492,8,172,22,5,3,2024-01-01
493,8,172,12,23,23,2025-01-01
494,8,172,0,9,14,2025-12-01
495,8,172,12,3,2,2025-06-01
496,8,172,0,13,13,2024-07-01
497,8,172,15,7,7,2025-04-01
498,8,165,13,3,8,2024-11-01
499,8,165,19,3,4,2025-02-01
500,8,165,26,22,25,2025-06-01
501,8,165,29,19,17,2024-07-01
502,8,165,20,24,14,2024-12-01
503,8,165,31,19,2,2025-01-01
504,8,165,32,14,12,2024-02-01
505,8,165,31,24,12,2025-10-01
506,9,163,17,17,6,2024-12-01
507,9,163,15,23,25,2024-07-01
508,9,163,41,18,7,2024-10-01
509,9,163,33,15,4,2025-05-01
510,9,163,0,12,13,2025-12-01
511,9,163,3,2,4,2025-11-01
512,9,166,10,16,19,2024-01-01
513,9,166,28,10,7,2024-08-01
514,9,166,2,3,3,2025-05-01
515,9,166,11,20,11,2025-08-01
516,9,166,22,9,8,2025-12-01
517,9,166,15,5,1,2025-09-01
518,9,166,25,23,20,2024-03-01
519,9,166,20,13,5,2025-03-01
520,9,166,16,7,7,2025-06-01
521,9,177,37,24,11,2025-01-01
522,9,177,16,22,24,2025-10-01
523,9,177,0,8,13,2024-11-01
524,9,177,13,11,10,2024-06-01
525,9,177,15,4,3,2025-04-01
526,9,177,46,24,6,2024-04-01
527,9,177,30,10,1,2025-03-01
528,9,177,31,20,10,2024-09-01
529,9,177,28,5,5,2025-06-01
530,9,177,14,10,13,2025-05-01
531,9,177,0,20,22,2024-12-01
532,9,176,4,15,19,2024-10-01
533,9,176,24,19,5,2024-01-01
534,9,176,34,4,0,2025-12-01
535,9,176,19,4,9,2025-01-01
536,9,176,16,12,17,2024-09-01
537,9,176,9,5,1,2025-02-01
538,9,176,26,21,11,2025-07-01
539,9,176,16,3,7,2024-11-01
540,9,176,35,17,12,2024-04-01
541,9,138,23,17,8,2024-06-01
542,9,138,19,16,15,2025-04-01
543,9,138,32,19,4,2024-10-01
544,9,138,9,15,19,2024-01-01
545,9,138,12,12,6,2025-11-01
546,9,138,10,7,11,2025-10-01
547,9,138,35,14,1,2025-06-01
548,9,138,19,20,20,2025-12-01
549,9,138,28,13,1,2024-08-01
550,9,138,35,25,1,2024-09-01
551,9,130,18,25,24,2025-02-01
552,9,130,42,23,5,2024-04-01
553,9,130,25,12,5,2025-12-01
554,9,130,14,7,8,2025-07-01
555,9,130,6,4,5,2025-10-01
556,9,130,20,25,29,2025-04-01
557,9,130,14,10,9,2025-08-01
558,9,130,26,18,15,2024-05-01
559,9,130,32,23,5,2025-06-01
560,9,140,33,6,1,2024-04-01
561,9,140,34,17,10,2025-08-01
562,9,140,27,8,3,2025-04-01
563,9,140,20,14,2,2024-01-01
564,9,140,33,19,11,2025-03-01
565,9,140,8,8,4,2024-02-01
566,9,140,3,8,10,2025-07-01
567,9,140,10,4,6,2025-09-01
568,9,140,16,18,7,2024-07-01
569,9,140,29,3,0,2024-05-01
570,9,140,27,23,14,2024-10-01
571,9,119,16,2,7,2025-01-01
572,9,119,37,22,2,2024-12-01
573,9,119,5,5,6,2025-08-01
574,9,119,25,17,8,2025-10-01
575,9,119,41,22,5,2024-07-01
576,9,119,23,12,4,2025-03-01
577,9,119,9,19,19,2024-01-01
578,9,119,26,4,8,2025-02-01
579,9,119,0,7,12,2025-09-01
580,9,119,23,16,17,2024-11-01
581,9,119,19,6,4,2025-12-01
582,9,119,11,20,24,2024-04-01
583,10,131,9,8,3,2025-10-01
584,10,131,11,17,11,2025-06-01
585,10,131,14,15,5,2025-03-01
586,10,131,22,9,2,2025-12-01
587,10,131,35,18,10,2024-09-01
588,10,131,18,10,11,2024-03-01
589,10,179,1,10,12,2024-09-01
590,10,179,0,15,19,2024-11-01
591,10,179,15,12,9,2024-06-01
592,10,179,28,20,2,2025-09-01
593,10,179,7,17,21,2024-02-01
594,10,179,12,16,8,2025-04-01
595,10,179,18,16,5,2024-03-01
596,10,183,8,6,10,2025-07-01
597,10,183,24,17,17,2025-02-01
598,10,183,14,20,20,2025-06-01
599,10,183,16,12,15,2024-11-01
600,10,183,17,22,8,2024-08-01
601,10,183,10,5,4,2024-07-01
602,10,158,43,24,11,2025-03-01
603,10,158,23,23,20,2024-09-01
604,10,158,21,21,23,2025-07-01
605,10,158,16,24,26,2024-03-01
606,10,158,32,22,1,2024-04-01
607,10,158,19,2,5,2024-05-01
608,10,158,22,6,4,2025-11-01
609,10,158,24,5,4,2025-05-01
610,10,158,14,9,10,2024-01-01
611,10,158,31,21,12,2024-10-01
612,10,134,12,14,4,2025-01-01
613,10,134,20,14,6,2025-05-01
614,10,134,25,16,11,2025-08-01
615,10,134,16,24,20,2024-12-01
616,10,134,11,13,2,2024-03-01
617,10,134,27,14,6,2025-03-01
618,10,134,35,25,2,2025-10-01
619,10,134,4,2,4,2025-07-01
620,10,177,8,19,15,2024-10-01
621,10,177,22,9,7,2024-05-01
622,10,177,10,4,8,2024-02-01
623,10,177,34,24,16,2025-04-01
624,10,177,41,25,4,2025-09-01
625,10,177,27,19,5,2024-06-01
626,10,177,19,18,16,2024-11-01
627,10,177,26,19,19,2025-07-01
628,10,177,0,5,10,2024-03-01
629,11,113,0,20,22,2025-09-01
630,11,113,23,14,13,2024-11-01
631,11,113,32,24,2,2024-01-01
632,11,113,19,19,22,2024-02-01
633,11,113,20,7,6,2024-08-01
634,11,113,33,14,7,2024-10-01
635,11,113,18,10,0,2025-02-01
636,11,113,14,22,16,2025-05-01
637,11,113,12,3,6,2025-07-01
638,11,113,31,14,8,2025-11-01
639,11,113,14,14,14,2024-06-01
640,11,103,11,15,14,2024-10-01
641,11,103,24,10,4,2025-02-01
642,11,103,8,5,8,2025-06-01
643,11,103,8,3,4,2025-10-01
644,11,103,36,12,0,2024-04-01
645,11,103,19,16,12,2024-03-01
646,11,103,20,3,8,2025-01-01
647,11,103,11,17,7,2025-03-01
648,11,105,18,7,11,2025-12-01
649,11,105,17,2,1,2025-02-01
650,11,105,29,20,14,2025-07-01
651,11,105,30,20,3,2025-11-01
652,11,105,30,2,1,2025-03-01
653,11,105,35,10,0,2024-06-01
654,11,111,29,21,4,2024-10-01
655,11,111,16,15,10,2024-02-01
656,11,111,23,3,1,2025-07-01
657,11,111,35,25,15,2024-08-01
658,11,111,16,24,29,2025-06-01
659,11,111,7,16,15,2024-06-01
660,11,111,21,11,6,2024-12-01
661,11,111,11,5,5,2024-01-01
662,11,111,6,4,0,2025-08-01
663,11,111,16,19,9,2024-04-01
664,11,111,19,13,7,2025-01-01
665,11,125,2,8,6,2024-08-01
666,11,125,11,18,9,2025-01-01
667,11,125,0,6,10,2025-05-01
668,11,125,21,21,21,2024-05-01
669,11,125,10,6,2,2024-12-01
670,11,125,18,6,4,2025-04-01
671,11,125,17,19,19,2025-03-01
672,11,134,10,9,9,2025-11-01
673,11,134,0,11,13,2024-08-01
674,11,134,16,22,27,2025-03-01
675,11,134,20,21,12,2024-03-01
676,11,134,15,19,21,2025-10-01
677,11,134,4,20,25,2025-05-01
678,11,134,20,2,0,2025-04-01
679,11,134,16,7,10,2024-04-01
680,11,134,13,17,21,2024-10-01
681,11,134,26,4,6,2024-12-01
682,11,134,24,10,15,2025-02-01
683,11,120,15,24,11,2024-06-01
684,11,120,15,7,1,2025-05-01
685,11,120,2,3,5,2024-10-01
686,11,120,26,21,5,2025-04-01
687,11,120,20,19,23,2024-04-01
688,11,120,11,6,7,2025-09-01
689,11,120,22,22,12,2025-11-01
690,11,120,18,22,13,2024-02-01
691,11,120,5,7,7,2025-10-01
692,11,185,0,10,14,2025-11-01
693,11,185,16,18,10,2024-04-01
694,11,185,49,20,1,2025-06-01
695,11,185,23,6,9,2025-03-01
696,11,185,21,17,14,2024-01-01
697,11,185,7,8,12,2025-10-01
698,11,102,36,22,8,2025-09-01
699,11,102,34,14,6,2024-05-01
700,11,102,29,17,3,2025-12-01
701,11,102,0,3,8,2024-06-01
702,11,102,17,18,16,2024-04-01
703,11,102,38,17,5,2025-05-01
704,11,102,6,6,7,2025-08-01
705,11,102,29,6,0,2024-07-01
706,11,102,0,2,6,2025-04-01
707,11,102,2,21,22,2024-03-01
708,12,106,29,15,0,2025-01-01
709,12,106,17,18,8,2024-05-01
710,12,106,21,11,15,2025-07-01
711,12,106,14,8,7,2024-03-01
712,12,106,26,6,2,2024-01-01
713,12,106,16,6,9,2024-10-01
714,12,106,1,8,12,2025-04-01
715,12,106,14,15,19,2024-04-01
716,12,143,4,11,16,2024-09-01
717,12,143,12,4,3,2025-05-01
718,12,143,31,3,0,2024-08-01
719,12,143,14,18,4,2025-12-01
720,12,143,43,17,3,2024-02-01
721,12,143,11,17,18,2025-09-01
722,12,143,31,9,0,2024-11-01
723,12,143,14,5,5,2024-04-01
724,12,143,28,3,2,2025-04-01
725,12,136,13,16,11,2024-10-01
726,12,136,44,21,3,2024-08-01
727,12,136,35,17,11,2024-09-01
728,12,136,32,9,1,2025-08-01
729,12,136,14,23,21,2024-12-01
730,12,136,31,25,3,2024-02-01
731,12,136,40,11,1,2024-01-01
732,12,136,16,9,13,2025-07-01
