transaction_id,transaction_date,customer_id,vehicle_id,dealer_id,quantity,unit_price,discount_amount,tax_amount,total_revenue,payment_method,sales_channel
500075,2024-08-18,3726,101,108,1,248100000,13900000,25762000,259962000,Cash,Showroom
500076,2025-04-16,1713,113,48,1,163100000,7400000,17127000,172827000,Credit,Showroom
500077,2024-06-13,1446,118,13,4,205800000,33400000,86878000,876678000,Cash,Fleet
500078,2024-12-22,4607,113,58,1,167700000,3900000,18018000,181818000,Credit,Showroom
500079,2021-10-30,3850,142,89,1,284100000,10300000,30118000,303918000,Cash,Event
500080,2024-06-30,1945,143,68,1,730300000,5400000,79739000,804639000,Cash,Showroom
500081,2021-04-20,3115,104,9,1,297500000,18400000,30701000,309801000,Cash,Event
500082,2024-12-22,2671,117,10,1,192700000,7700000,20350000,205350000,Cash,Showroom
500083,2023-07-24,3632,130,52,1,648500000,8700000,70378000,710178000,Credit,Showroom
500084,2020-04-28,4781,148,12,1,286000000,13400000,29986000,302586000,Credit,Showroom
500085,2025-02-06,1720,127,84,1,292600000,7700000,31339000,316239000,Cash,Showroom
500086,2023-07-23,1252,116,2,1,254900000,15900000,26290000,265290000,Credit,Showroom
500087,2022-04-22,3296,105,112,1,574000000,39600000,58784000,593184000,Credit,Showroom
500088,2025-12-03,2184,129,56,1,311200000,19200000,32120000,324120000,Credit,Online
500089,2025-10-24,2838,109,8,1,794400000,39000000,83094000,838494000,Credit,Showroom
500090,2023-03-20,5058,103,97,1,288800000,19100000,29667000,299367000,Cash,Showroom
500091,2020-02-09,3577,110,102,1,784500000,5200000,85723000,865023000,Cash,Showroom
500092,2022-07-05,1854,118,119,1,198600000,3300000,21483000,216783000,Credit,Online
500093,2024-10-20,4962,130,82,1,655800000,2400000,71874000,725274000,Credit,Showroom
500094,2023-02-13,3644,104,87,1,292600000,5400000,31592000,318792000,Credit,Showroom
500095,2021-01-19,1283,135,62,1,292900000,7400000,31405000,316905000,Credit,Online
500096,2025-04-24,2756,102,1,1,479700000,13300000,51304000,517704000,Credit,Showroom
500097,2023-12-22,3684,106,3,1,396600000,7400000,42812000,432012000,Cash,Showroom
500098,2024-06-12,1407,114,65,1,293300000,3500000,31878000,321678000,Credit,Showroom
500099,2025-10-01,4124,145,5,6,364400000,152500000,223729000,2257629000,Cash,Fleet
500100,2021-04-27,2650,102,65,1,467600000,4800000,50908000,513708000,Cash,Online
500101,2022-01-29,1667,106,31,1,383300000,18500000,40128000,404928000,Cash,Showroom
500102,2021-05-19,4514,121,45,1,410000000,7400000,44286000,446886000,Credit,Event
500103,2025-07-07,3585,107,26,1,383400000,2700000,41877000,422577000,Cash,Online
500104,2022-01-28,3070,133,2,1,427300000,11000000,45793000,462093000,Credit,Showroom
500105,2021-07-10,3698,102,111,1,477300000,30100000,49192000,496392000,Cash,Event
500106,2024-01-10,3984,101,99,1,246900000,13800000,25641000,258741000,Cash,Showroom
500107,2025-06-24,2493,108,38,1,177900000,8900000,18590000,187590000,Credit,Showroom
500108,2021-02-21,1850,103,42,1,296000000,2200000,32318000,326118000,Credit,Showroom
500109,2025-11-21,3285,115,74,1,292600000,2800000,31878000,321678000,Cash,Showroom
500110,2022-10-18,2394,107,110,1,378300000,1500000,41448000,418248000,Cash,Showroom
500111,2022-04-28,3494,136,74,1,466500000,17200000,49423000,498723000,Credit,Showroom
500112,2024-10-03,1915,106,29,1,391100000,1400000,42867000,432567000,Credit,Showroom
500113,2023-05-20,2900,114,80,1,290000000,5000000,31350000,316350000,Credit,Showroom
500114,2021-05-20,2895,148,103,1,299600000,12000000,31636000,319236000,Credit,Showroom
500115,2020-03-04,1125,117,63,1,182800000,6400000,19404000,195804000,Credit,Showroom
500116,2022-01-03,5188,129,100,1,308900000,17400000,32065000,323565000,Credit,Showroom
500117,2023-10-27,2360,174,98,1,1903400000,49400000,203940000,2057940000,Cash,Showroom
500118,2022-06-05,2924,104,114,5,291600000,42400000,155716000,1571316000,Cash,Fleet
500119,2022-05-23,4290,103,114,1,286700000,1300000,31394000,316794000,Credit,Showroom
500120,2025-06-30,2805,112,96,1,225100000,3600000,24365000,245865000,Credit,Showroom
500121,2020-04-22,2731,119,81,1,206900000,12900000,21340000,215340000,Credit,Online
500122,2025-01-12,4205,105,13,1,556500000,36200000,57233000,577533000,Credit,Showroom
500123,2020-04-08,2102,163,107,1,583100000,18000000,62161000,627261000,Credit,Online
500124,2025-05-06,3832,133,80,1,429600000,9400000,46222000,466422000,Cash,Online
500125,2021-02-08,5401,112,118,1,236900000,8900000,25080000,253080000,Cash,Online
500126,2023-08-11,3275,161,34,1,439300000,21400000,45969000,463869000,Credit,Event
500127,2024-01-20,3133,102,41,1,482000000,22400000,50556000,510156000,Credit,Event
500128,2025-08-03,4225,106,15,1,386800000,25000000,39798000,401598000,Credit,Showroom
500129,2020-08-01,3860,111,5,1,231900000,12700000,24112000,243312000,Credit,Online
500130,2023-04-18,1330,174,2,1,1837800000,32400000,198594000,2003994000,Credit,Online
500131,2024-01-19,2396,139,45,1,248100000,2400000,27027000,272727000,Credit,Showroom
500132,2023-09-19,5345,103,25,1,283300000,17600000,29227000,294927000,Cash,Showroom
500133,2021-04-26,4055,114,23,3,283900000,6400000,92983000,938283000,Cash,Fleet
500134,2025-07-29,1579,116,108,1,265300000,14900000,27544000,277944000,Cash,Showroom
500135,2021-02-19,4173,172,85,1,1353300000,14800000,147235000,1485735000,Credit,Showroom
500136,2024-08-19,1817,113,49,1,172200000,3400000,18568000,187368000,Cash,Showroom
500137,2022-10-26,2475,128,78,1,293000000,10400000,31086000,313686000,Cash,Showroom
500138,2024-12-23,2984,145,110,1,360300000,23500000,37048000,373848000,Credit,Showroom
500139,2023-06-06,1757,112,74,1,223100000,13200000,23089000,232989000,Cash,Showroom
500140,2021-09-25,2923,109,52,1,754700000,26100000,80146000,808746000,Credit,Showroom
500141,2024-09-08,4911,128,104,1,311400000,11500000,32989000,332889000,Credit,Showroom
500142,2021-05-17,4724,104,69,1,300900000,9100000,32098000,323898000,Credit,Showroom
500143,2021-11-01,1988,126,76,1,638300000,5000000,69663000,702963000,Credit,Showroom
500144,2023-07-28,4666,116,110,1,252700000,12900000,26378000,266178000,Credit,Showroom
500145,2023-05-26,1381,175,63,1,1115400000,64400000,115610000,1166610000,Credit,Showroom
500146,2024-01-14,2105,163,8,1,555800000,32300000,57585000,581085000,Credit,Showroom
500147,2022-06-05,4191,112,48,1,240500000,4500000,25960000,261960000,Credit,Showroom
500148,2022-05-12,4359,162,87,1,558300000,27600000,58377000,589077000,Cash,Showroom
500149,2022-06-02,3798,101,73,1,245900000,8000000,26169000,264069000,Credit,Event
500150,2023-01-21,5080,112,65,1,238900000,7100000,25498000,257298000,Credit,Showroom
500151,2025-03-18,2536,102,82,1,478400000,30200000,49302000,497502000,Credit,Showroom
500152,2021-02-24,4262,102,62,1,454400000,21600000,47608000,480408000,Credit,Showroom
500153,2024-05-14,1916,123,9,1,778500000,45500000,80630000,813630000,Credit,Showroom
500154,2023-11-29,1606,104,78,1,282700000,1000000,30987000,312687000,Cash,Showroom
500155,2022-06-02,2612,101,9,1,247100000,2400000,26917000,271617000,Cash,Showroom
500156,2024-11-05,2457,118,30,1,206100000,7900000,21802000,220002000,Credit,Showroom
500157,2023-05-15,2430,126,16,1,634200000,24000000,67122000,677322000,Credit,Event
500158,2021-08-17,1673,125,13,1,630400000,33000000,65714000,663114000,Credit,Showroom
500159,2021-09-23,3080,116,75,1,271900000,12800000,28501000,287601000,Cash,Showroom
500160,2021-10-13,3352,113,111,1,164000000,2700000,17743000,179043000,Credit,Showroom
500161,2025-01-11,2469,101,94,1,235400000,9400000,24860000,250860000,Cash,Event
500162,2023-09-13,1382,115,46,1,280000000,5400000,30206000,304806000,Cash,Showroom
500163,2022-10-04,5187,127,87,1,274800000,14600000,28622000,288822000,Credit,Showroom
500164,2024-11-21,1650,124,35,1,322600000,20700000,33209000,335109000,Credit,Showroom
500165,2024-04-09,4090,144,22,1,808600000,27500000,85921000,867021000,Credit,Showroom
500166,2025-02-27,1066,109,91,1,771600000,15100000,83215000,839715000,Cash,Showroom
500167,2024-09-25,2475,109,8,1,769300000,11900000,83314000,840714000,Credit,Showroom
500168,2023-08-17,1651,151,85,1,559700000,34200000,57805000,583305000,Cash,Showroom
500169,2025-03-03,1380,118,89,1,197000000,5700000,21043000,212343000,Credit,Showroom
500170,2022-05-22,4648,132,90,1,415300000,19100000,43582000,439782000,Credit,Showroom
500171,2022-12-05,2282,123,53,1,741900000,43900000,76780000,774780000,Credit,Showroom
500172,2022-10-19,3219,111,11,1,236300000,1300000,25850000,260850000,Cash,Online
500173,2023-05-25,1267,132,4,1,410100000,2000000,44891000,452991000,Credit,Showroom
500174,2025-05-27,2238,127,8,1,289000000,5500000,31185000,314685000,Cash,Showroom
500175,2024-09-04,4581,135,63,1,288800000,6700000,31031000,313131000,Credit,Online
500176,2020-08-21,3138,107,52,1,395200000,11400000,42218000,426018000,Credit,Showroom
500177,2021-10-14,5246,147,95,1,201900000,7800000,21351000,215451000,Cash,Showroom
500178,2023-09-14,1173,114,48,1,287600000,14800000,30008000,302808000,Credit,Showroom
500179,2023-02-16,3450,110,116,1,775100000,40600000,80795000,815295000,Credit,Showroom
500180,2023-09-07,1531,113,6,1,163000000,11100000,16709000,168609000,Cash,Showroom
500181,2020-06-25,4640,115,33,1,282200000,9900000,29953000,302253000,Credit,Showroom
500182,2020-02-13,4598,129,11,1,303800000,7600000,32582000,328782000,Credit,Showroom
500183,2023-07-05,4368,138,51,1,259800000,500000,28523000,287823000,Credit,Showroom
500184,2025-04-22,1049,132,69,1,413400000,13200000,44022000,444222000,Credit,Showroom
500185,2021-01-13,2076,116,63,1,255500000,4100000,27654000,279054000,Credit,Showroom
500186,2024-01-24,1908,125,20,1,669500000,25000000,70895000,715395000,Credit,Showroom
500187,2021-02-22,5292,137,7,1,464200000,8600000,50116000,505716000,Credit,Showroom
500188,2020-04-29,5420,122,111,1,778000000,43400000,80806000,815406000,Credit,Showroom
500189,2024-01-05,2219,123,5,1,777200000,47600000,80256000,809856000,Credit,Online
500190,2023-10-12,4045,103,116,1,301800000,8200000,32296000,325896000,Cash,Showroom
500191,2024-07-20,4387,135,56,1,303700000,18500000,31372000,316572000,Credit,Showroom
500192,2025-10-04,4078,109,111,1,793500000,9800000,86207000,869907000,Cash,Showroom
500193,2024-05-05,1161,113,104,1,160200000,5100000,17061000,172161000,Credit,Showroom
500194,2020-01-19,2640,140,69,1,169200000,11300000,17369000,175269000,Cash,Showroom
500195,2023-02-07,2896,143,97,1,711300000,35500000,74338000,750138000,Credit,Online
500196,2025-04-10,3007,110,111,1,785600000,33500000,82731000,834831000,Credit,Showroom
500197,2020-03-01,4850,109,34,1,777000000,24700000,82753000,835053000,Credit,Showroom
500198,2023-09-07,1410,102,118,1,453900000,17200000,48037000,484737000,Credit,Showroom
500199,2024-12-25,1022,120,101,1,393800000,14700000,41701000,420801000,Credit,Showroom
500200,2025-09-20,1661,106,60,1,391700000,9900000,41998000,423798000,Credit,Showroom
500201,2024-01-09,1201,110,66,1,787100000,39200000,82269000,830169000,Cash,Showroom
500202,2023-01-30,1342,119,81,1,199900000,12700000,20592000,207792000,Credit,Showroom
500203,2022-12-22,4135,127,101,1,290300000,3000000,31603000,318903000,Credit,Showroom
500204,2020-07-04,4371,113,26,1,162000000,2300000,17567000,177267000,Credit,Online
500205,2024-05-13,1570,111,105,1,239100000,7100000,25520000,257520000,Cash,Showroom
500206,2023-07-14,3509,107,85,1,386700000,11300000,41294000,416694000,Cash,Showroom
500207,2023-04-17,5449,114,97,1,281700000,10500000,29832000,301032000,Credit,Event
500208,2021-06-11,1380,174,98,1,1836100000,104400000,190487000,1922187000,Cash,Showroom
500209,2021-02-28,2961,121,98,1,400300000,17100000,42152000,425352000,Cash,Showroom
500210,2020-01-24,3118,106,3,1,378000000,11500000,40315000,406815000,Credit,Showroom
500211,2021-10-18,1351,128,50,1,302400000,9000000,32274000,325674000,Credit,Showroom
500212,2021-08-26,5308,107,8,1,395400000,2500000,43219000,436119000,Cash,Showroom
500213,2025-03-16,3414,124,22,1,326500000,15800000,34177000,344877000,Credit,Showroom
500214,2022-02-09,4392,147,84,1,202400000,9100000,21263000,214563000,Credit,Showroom
500215,2025-08-27,4269,114,114,1,288300000,11800000,30415000,306915000,Credit,Showroom
500216,2020-04-05,5126,109,42,1,784300000,8600000,85327000,861027000,Credit,Showroom
500217,2025-12-15,2011,117,28,1,179500000,11100000,18524000,186924000,Credit,Online
500218,2025-12-27,3226,163,103,1,583500000,28200000,61083000,616383000,Cash,Showroom
500219,2022-01-18,1491,127,50,1,273100000,8000000,29161000,294261000,Credit,Showroom
500220,2023-05-28,4904,126,74,1,622000000,36600000,64394000,649794000,Credit,Showroom
500221,2024-09-09,2039,109,14,1,790300000,54900000,80894000,816294000,Credit,Showroom
500222,2022-03-31,4602,104,81,1,287800000,16900000,29799000,300699000,Cash,Event
500223,2025-05-22,3213,114,18,1,282700000,16500000,29282000,295482000,Credit,Showroom
500224,2024-07-31,4913,102,84,1,447300000,28500000,46068000,464868000,Credit,Showroom
500225,2025-01-13,4623,136,43,1,471400000,23000000,49324000,497724000,Credit,Showroom
500226,2021-09-05,3464,111,44,1,233400000,9900000,24585000,248085000,Credit,Showroom
500227,2020-06-27,3223,116,79,1,252600000,1800000,27588000,278388000,Credit,Showroom
500228,2025-11-19,2939,122,28,1,776500000,40200000,80993000,817293000,Credit,Showroom
500229,2025-07-29,4056,108,52,1,177500000,6000000,18865000,190365000,Cash,Showroom
500230,2024-08-08,2319,132,107,1,415100000,900000,45562000,459762000,Cash,Showroom
500231,2023-03-14,4380,106,55,1,387900000,2000000,42449000,428349000,Credit,Showroom
500232,2023-08-16,3914,104,51,1,303100000,1100000,33220000,335220000,Credit,Showroom
500233,2023-07-13,5022,129,112,1,308100000,12300000,32538000,328338000,Cash,Showroom
500234,2022-03-23,2618,117,120,1,185500000,11600000,19129000,193029000,Credit,Online
500235,2021-01-16,1539,130,52,3,667500000,50100000,214764000,2167164000,Cash,Fleet
500236,2025-02-20,2210,115,23,1,297100000,11900000,31372000,316572000,Credit,Showroom
500237,2022-02-27,3918,130,118,1,666300000,3800000,72875000,735375000,Credit,Showroom
500238,2025-08-03,5404,107,108,1,386800000,8500000,41613000,419913000,Cash,Showroom
500239,2025-12-08,1572,107,34,1,373600000,2500000,40821000,411921000,Cash,Showroom
500240,2022-10-05,1168,110,30,1,797700000,39300000,83424000,841824000,Credit,Showroom
500241,2023-11-14,3533,174,76,1,1934900000,99000000,201949000,2037849000,Cash,Showroom
500242,2025-02-04,4871,102,110,1,469600000,30000000,48356000,487956000,Credit,Showroom
500243,2024-08-06,1084,110,73,1,791700000,1700000,86900000,876900000,Credit,Showroom
500244,2020-09-27,3029,120,75,1,396300000,11700000,42306000,426906000,Credit,Showroom
500245,2023-03-10,2475,170,111,1,331700000,13000000,35057000,353757000,Credit,Showroom
500246,2022-07-02,4104,109,45,1,793000000,25900000,84381000,851481000,Credit,Showroom
500247,2023-09-08,2961,103,94,1,288000000,15100000,30019000,302919000,Credit,Showroom
500248,2021-10-01,2012,118,89,1,195100000,5300000,20878000,210678000,Credit,Showroom
500249,2022-06-09,5139,109,64,1,775800000,20000000,83138000,838938000,Credit,Showroom
500250,2024-04-25,2067,101,52,1,236300000,11800000,24695000,249195000,Cash,Event
500251,2024-10-16,2065,147,26,1,196400000,7200000,20812000,210012000,Credit,Showroom
500252,2024-12-11,2980,134,83,1,262400000,11900000,27555000,278055000,Credit,Showroom
500253,2024-01-22,3463,104,67,1,283700000,13300000,29744000,300144000,Cash,Showroom
500254,2025-11-29,2259,154,58,5,895500000,251700000,464838000,4690638000,Credit,Fleet
500255,2025-07-16,5452,159,58,1,419500000,28200000,43043000,434343000,Credit,Showroom
500256,2023-05-08,2747,103,86,1,288900000,16800000,29931000,302031000,Cash,Showroom
500257,2020-07-26,3956,144,49,1,806600000,9600000,87670000,884670000,Credit,Showroom
500258,2025-03-15,5275,148,106,1,281400000,6400000,30250000,305250000,Credit,Showroom
500259,2025-07-24,2768,132,43,1,420200000,16300000,44429000,448329000,Credit,Showroom
500260,2022-02-06,4153,110,108,1,792500000,10700000,85998000,867798000,Credit,Showroom
500261,2020-04-17,5031,138,69,1,251400000,15100000,25993000,262293000,Credit,Showroom
500262,2023-01-11,4077,104,91,1,297000000,13500000,31185000,314685000,Credit,Showroom
500263,2025-07-12,2156,169,120,1,266000000,17100000,27379000,276279000,Cash,Showroom
500264,2024-12-26,1046,115,43,1,296800000,18800000,30580000,308580000,Cash,Showroom
500265,2024-11-14,5353,162,12,1,564500000,32700000,58498000,590298000,Credit,Showroom
500266,2023-09-25,4084,115,59,1,282600000,1600000,30910000,311910000,Cash,Showroom
500267,2025-01-31,3804,115,48,1,283300000,16700000,29326000,295926000,Cash,Online
500268,2022-02-27,4752,115,96,1,289800000,1600000,31702000,319902000,Credit,Event
500269,2022-09-15,2245,138,103,1,254700000,13500000,26532000,267732000,Credit,Online
500270,2023-10-01,4074,116,13,1,269600000,14900000,28017000,282717000,Credit,Online
500271,2024-09-07,5327,101,63,1,236600000,6200000,25344000,255744000,Credit,Showroom
500272,2020-08-11,4255,116,16,1,269800000,1100000,29557000,298257000,Credit,Showroom
500273,2022-04-10,4529,118,78,1,203200000,8000000,21472000,216672000,Credit,Showroom
500274,2021-09-04,2219,116,9,1,271500000,14200000,28303000,285603000,Credit,Showroom
500275,2021-09-19,5135,122,117,1,750300000,27800000,79475000,801975000,Credit,Showroom
500276,2024-12-08,2920,156,24,1,665900000,700000,73172000,738372000,Cash,Event
500277,2024-04-24,2771,107,98,1,373200000,8500000,40117000,404817000,Credit,Showroom
500278,2023-04-18,2496,106,69,1,380900000,22100000,39468000,398268000,Cash,Showroom
500279,2020-11-22,4682,105,31,1,568600000,32200000,59004000,595404000,Credit,Showroom
500280,2022-07-01,1703,118,69,1,204400000,7300000,21681000,218781000,Credit,Showroom
500281,2023-05-29,1395,110,57,1,755700000,18300000,81114000,818514000,Cash,Showroom
500282,2025-07-18,2825,103,13,1,301800000,20600000,30932000,312132000,Credit,Showroom
500283,2025-11-10,5101,125,3,1,635700000,28400000,66803000,674103000,Cash,Showroom
500284,2025-03-26,4907,114,14,1,295400000,8400000,31570000,318570000,Cash,Event
500285,2025-10-26,3805,102,4,1,458800000,300000,50435000,508935000,Credit,Event
500286,2020-01-28,3334,132,23,1,409300000,22500000,42548000,429348000,Cash,Showroom
500287,2023-06-24,4566,104,45,1,296000000,19800000,30382000,306582000,Credit,Showroom
500288,2020-06-04,1617,107,47,1,372700000,5500000,40392000,407592000,Cash,Showroom
500289,2025-06-14,4630,141,19,1,382900000,22700000,39622000,399822000,Credit,Showroom
500290,2022-03-24,3163,113,48,1,163400000,5900000,17325000,174825000,Credit,Showroom
500291,2021-02-24,4037,110,13,1,770300000,43400000,79959000,806859000,Credit,Event
500292,2022-09-19,5055,120,28,1,398200000,18900000,41723000,421023000,Cash,Showroom
500293,2021-08-15,3058,105,31,1,552300000,30600000,57387000,579087000,Cash,Showroom
500294,2022-07-01,2359,112,56,1,223300000,5000000,24013000,242313000,Credit,Online
500295,2025-05-03,1342,126,38,1,648500000,33300000,67672000,682872000,Credit,Showroom
500296,2021-10-06,4505,135,3,1,289600000,4400000,31372000,316572000,Credit,Showroom
500297,2025-02-27,2177,130,54,1,621800000,5900000,67749000,683649000,Cash,Showroom
500298,2023-05-16,2762,135,100,1,300500000,9300000,32032000,323232000,Cash,Event
500299,2025-09-17,5464,135,109,1,291000000,20100000,29799000,300699000,Cash,Showroom
500300,2025-11-20,1065,125,61,1,670500000,25300000,70972000,716172000,Credit,Showroom
500301,2024-05-17,2827,106,101,1,378600000,5100000,41085000,414585000,Credit,Showroom
500302,2024-04-19,3685,112,21,3,226200000,37200000,70554000,711954000,Cash,Fleet
500303,2021-06-22,3203,141,87,1,389400000,1500000,42669000,430569000,Credit,Showroom
500304,2022-12-13,2659,116,76,1,260100000,13100000,27170000,274170000,Credit,Showroom
500305,2023-06-07,1121,187,49,1,1291200000,72100000,134101000,1353201000,Cash,Showroom
500306,2020-02-21,2562,109,84,1,773500000,22400000,82621000,833721000,Credit,Showroom
500307,2021-11-19,3615,103,28,1,294800000,19900000,30239000,305139000,Credit,Showroom
500308,2020-01-15,1752,102,9,1,456500000,6500000,49500000,499500000,Credit,Online
500309,2023-03-18,5142,128,72,1,309400000,2900000,33715000,340215000,Credit,Online
500310,2022-07-05,4414,132,64,1,409800000,14400000,43494000,438894000,Cash,Showroom
500311,2022-09-12,3434,108,115,1,178000000,4100000,19129000,193029000,Cash,Event
500312,2021-12-24,3142,120,101,1,412200000,24400000,42658000,430458000,Credit,Showroom
500313,2024-01-01,2008,149,14,1,291500000,2600000,31779000,320679000,Credit,Showroom
500314,2021-07-29,3527,137,3,1,447800000,2400000,48994000,494394000,Credit,Showroom
500315,2023-11-10,4122,144,15,1,811300000,5800000,88605000,894105000,Credit,Online
500316,2023-08-19,2482,103,78,1,290500000,11000000,30745000,310245000,Credit,Showroom
500317,2023-06-30,1746,102,73,1,478000000,12900000,51161000,516261000,Cash,Showroom
