service_id,customer_id,vehicle_id,dealer_id,service_date,service_type,service_cost,customer_satisfaction_score
7118,4551,141,101,2024-08-22,Periodic,1672000,4
7119,1963,110,30,2022-06-21,Periodic,1421000,4
7120,3938,107,110,2023-11-12,Periodic,906000,5
7121,3938,107,110,2022-02-08,Periodic,1330000,5
7122,2901,140,118,2024-01-24,Repair,7752000,5
7123,2345,116,74,2024-07-11,Periodic,1969000,2
7124,2345,116,74,2024-07-16,Periodic,802000,4
7125,4762,106,21,2022-06-19,Body & Paint,11801000,5
7126,5034,180,117,2024-09-20,Repair,7053000,5
7127,2400,138,58,2023-07-12,Periodic,1350000,4
7128,2400,138,58,2023-12-21,Repair,3560000,5
7129,2363,129,120,2025-11-12,Periodic,804000,3
7130,1860,125,63,2025-05-15,Body & Paint,11711000,4
7131,3225,139,60,2023-11-29,Periodic,1034000,5
7132,2479,106,108,2025-01-16,Repair,7634000,4
7133,2479,106,108,2024-06-20,Body & Paint,3868000,3
7134,4046,106,53,2025-01-26,Periodic,1642000,2
7135,4169,148,38,2024-11-29,Warranty,17000,4
7136,4425,133,113,2023-08-05,Periodic,1417000,4
7137,4425,133,113,2022-08-18,Periodic,893000,4
7138,4425,133,113,2020-12-27,Repair,2348000,5
7139,2777,110,57,2023-10-15,Warranty,112000,2
7140,2777,110,57,2025-07-23,Body & Paint,7611000,4
7141,2777,110,57,2023-08-09,Repair,5409000,4
7142,2998,131,45,2024-03-04,Repair,7147000,4
7143,2998,131,45,2023-09-19,Periodic,1125000,1
7144,2998,131,45,2025-12-28,Periodic,2157000,3
7145,1954,110,76,2024-06-27,Repair,5370000,4
7146,4308,138,96,2022-10-23,Repair,2102000,5
7147,4308,138,96,2023-10-22,Periodic,1201000,4
7148,4308,138,96,2025-06-15,Periodic,1634000,2
7149,1064,111,76,2025-05-03,Repair,6375000,3
7150,1064,111,76,2025-11-23,Periodic,1183000,5
7151,1064,111,76,2024-12-25,Periodic,1608000,5
7152,1607,106,81,2025-05-23,Body & Paint,9047000,5
7153,1885,110,82,2021-05-25,Periodic,1524000,4
7154,1885,110,82,2021-03-09,Repair,5334000,4
7155,1016,132,120,2023-08-01,Periodic,777000,5
7156,1016,132,120,2022-12-22,Periodic,1959000,5
7157,1016,132,120,2024-09-23,Periodic,1926000,5
7158,4542,116,32,2024-04-09,Repair,3848000,4
7159,4056,111,108,2023-10-08,Repair,2390000,5
7160,4056,111,108,2024-01-05,Repair,3965000,4
7161,1534,102,95,2025-11-19,Repair,5403000,5
7162,5074,125,105,2022-11-03,Periodic,1420000,3
7163,5065,115,54,2020-11-21,Body & Paint,5584000,4
7164,1106,109,1,2023-08-28,Periodic,1306000,5
7165,5344,101,89,2023-09-15,Periodic,1364000,5
7166,5344,101,89,2023-04-07,Periodic,1798000,4
7167,4455,103,55,2025-07-01,Repair,7436000,3
7168,1409,104,46,2024-08-08,Periodic,2091000,5
7169,1409,104,46,2024-06-17,Body & Paint,5997000,5
7170,1409,104,46,2024-09-30,Periodic,1867000,3
7171,1308,152,62,2025-12-17,Repair,7739000,4
7172,4396,147,68,2023-08-11,Repair,3419000,3
7173,4396,147,68,2022-05-21,Periodic,786000,4
7174,4396,147,68,2020-11-06,Periodic,1634000,5
7175,1424,107,50,2024-03-22,Periodic,1672000,5
7176,1424,107,50,2024-04-17,Periodic,1595000,4
7177,1424,107,50,2022-08-04,Warranty,129000,5
7178,1817,148,16,2025-08-04,Periodic,1754000,4
7179,2095,117,58,2025-01-09,Repair,6192000,3
7180,2095,117,58,2025-08-04,Periodic,784000,4
7181,5293,127,119,2023-03-07,Periodic,1487000,3
7182,3702,125,105,2020-09-20,Warranty,9000,3
7183,3702,125,105,2024-01-02,Periodic,1410000,1
7184,3702,125,105,2021-09-03,Warranty,106000,4
7185,1387,120,11,2025-04-12,Periodic,1030000,5
7186,4044,104,112,2022-09-14,Body & Paint,9662000,4
7187,4044,104,112,2022-05-20,Periodic,1823000,5
7188,1763,126,51,2025-04-29,Periodic,1705000,5
7189,3020,105,32,2025-06-26,Periodic,2076000,4
7190,3020,105,32,2025-05-01,Periodic,1252000,3
7191,1051,112,35,2023-06-13,Repair,4465000,4
7192,1051,112,35,2024-03-24,Periodic,749000,4
7193,1051,112,35,2024-01-23,Warranty,5000,4
7194,5126,140,52,2023-12-19,Periodic,993000,5
7195,5126,140,52,2025-03-13,Periodic,1363000,5
7196,5126,140,52,2024-06-05,Repair,6530000,4
7197,3497,120,103,2022-09-26,Periodic,1982000,3
7198,3497,120,103,2022-10-10,Periodic,737000,5
7199,3497,120,103,2021-06-19,Periodic,1994000,4
7200,2651,113,10,2025-09-08,Repair,2770000,4
7201,1911,109,109,2025-01-05,Periodic,778000,5
7202,1911,109,109,2025-07-23,Periodic,1824000,4
7203,2376,160,99,2023-10-17,Warranty,239000,3
7204,2376,160,99,2025-02-03,Periodic,2004000,4
7205,2468,108,74,2022-06-16,Periodic,1102000,4
7206,2468,108,74,2023-07-20,Repair,2117000,1
7207,2468,108,74,2022-06-20,Repair,4108000,4
7208,4548,159,103,2024-03-02,Periodic,689000,5
7209,4548,159,103,2023-09-13,Repair,7494000,4
7210,4548,159,103,2024-07-20,Repair,3303000,3
7211,1534,114,29,2025-01-26,Periodic,1725000,4
7212,1534,114,29,2022-09-06,Periodic,665000,4
7213,1534,114,29,2025-02-15,Periodic,956000,5
7214,5031,138,69,2021-09-11,Warranty,401000,4
7215,3806,129,22,2023-11-26,Repair,4055000,5
7216,3806,129,22,2025-11-20,Repair,6614000,5
7217,4709,102,30,2024-07-27,Repair,6494000,4
7218,2619,117,45,2024-12-06,Periodic,1178000,4
7219,2619,117,45,2024-01-03,Warranty,304000,5
7220,1561,103,65,2024-10-22,Periodic,2085000,3
7221,1561,103,65,2025-03-20,Repair,5034000,2
7222,1561,103,65,2025-06-23,Periodic,2161000,4
7223,1195,114,111,2023-10-06,Periodic,970000,5
7224,2055,133,14,2022-08-09,Body & Paint,8806000,5
7225,2055,133,14,2022-10-08,Body & Paint,4848000,5
7226,2573,104,80,2025-10-20,Periodic,1346000,5
7227,2573,104,80,2025-12-16,Warranty,55000,3
7228,4682,105,31,2023-10-08,Periodic,1164000,5
7229,4682,105,31,2023-04-21,Periodic,1211000,5
7230,4682,105,31,2021-09-30,Periodic,2180000,3
7231,3005,128,113,2025-02-18,Periodic,746000,2
7232,4708,111,87,2023-02-09,Periodic,644000,4
7233,4708,111,87,2023-09-29,Warranty,297000,3
7234,4075,140,99,2025-05-30,Periodic,946000,3
7235,4075,140,99,2024-10-22,Periodic,1194000,5
7236,2318,112,108,2025-04-30,Periodic,2080000,5
7237,3661,167,80,2024-11-28,Periodic,812000,2
7238,3661,167,80,2024-06-18,Warranty,25000,4
7239,4160,110,24,2023-10-20,Body & Paint,10868000,5
7240,4160,110,24,2024-03-05,Body & Paint,4352000,4
7241,2247,115,34,2024-04-16,Repair,4306000,5
7242,2247,115,34,2022-12-28,Warranty,210000,4
7243,1291,118,112,2023-11-23,Body & Paint,8407000,3
7244,1291,118,112,2024-04-22,Periodic,605000,4
7245,1291,118,112,2024-03-02,Warranty,338000,5
7246,1731,122,30,2024-12-14,Periodic,1120000,5
7247,5475,110,58,2025-05-13,Periodic,1066000,4
7248,2141,145,98,2024-12-08,Periodic,1175000,4
7249,2141,145,98,2025-12-15,Periodic,1264000,4
7250,3762,138,86,2022-04-05,Body & Paint,9695000,5
7251,3762,138,86,2023-04-25,Repair,5410000,4
7252,3762,138,86,2021-08-27,Periodic,1366000,4
7253,4851,116,78,2024-04-06,Repair,6053000,5
7254,4851,116,78,2023-07-08,Periodic,2041000,3
7255,1423,107,118,2023-08-12,Periodic,2110000,5
7256,1423,107,118,2024-11-03,Periodic,1063000,2
7257,5326,115,21,2024-02-11,Body & Paint,11343000,4
7258,2112,142,90,2022-05-20,Repair,2488000,5
7259,3725,129,72,2024-02-16,Warranty,14000,5
7260,1489,116,4,2025-05-25,Periodic,1208000,4
7261,5135,122,117,2022-06-10,Body & Paint,8578000,5
7262,2689,118,38,2024-04-07,Repair,7378000,5
7263,2689,118,38,2025-04-23,Periodic,904000,5
7264,2393,153,84,2023-12-30,Repair,4140000,5
7265,4400,140,112,2023-08-27,Periodic,1016000,3
7266,4400,140,112,2025-07-08,Repair,3874000,4
7267,3436,111,19,2025-03-11,Repair,2746000,5
7268,2274,130,15,2024-09-11,Warranty,159000,4
7269,2274,130,15,2022-11-21,Periodic,1884000,5
7270,2274,130,15,2023-08-02,Warranty,327000,4
7271,2346,117,100,2020-10-10,Repair,6015000,3
7272,2346,117,100,2020-10-10,Periodic,1616000,5
7273,2346,117,100,2021-05-23,Repair,3989000,2
7274,4181,105,80,2025-05-09,Periodic,1819000,5
7275,5109,106,105,2022-11-24,Warranty,52000,4
7276,2462,181,59,2024-07-30,Periodic,1706000,4
7277,2462,181,59,2024-09-02,Repair,1693000,4
7278,2462,181,59,2023-05-29,Repair,1844000,1
7279,3762,123,53,2024-03-02,Periodic,1367000,5
7280,3183,119,53,2024-07-14,Repair,5538000,3
7281,2076,136,27,2023-11-13,Repair,1924000,5
7282,1468,125,98,2025-04-01,Periodic,1424000,3
7283,1468,125,98,2024-01-14,Warranty,110000,4
7284,1468,125,98,2025-11-27,Repair,6795000,5
7285,3204,112,4,2022-10-28,Periodic,1524000,3
7286,3204,112,4,2022-05-28,Periodic,1234000,4
7287,5475,115,93,2022-09-14,Periodic,950000,5
7288,2006,141,63,2022-07-03,Warranty,282000,5
7289,3885,123,95,2023-01-15,Periodic,1912000,4
7290,4880,107,113,2021-07-20,Body & Paint,7712000,3
7291,4880,107,113,2021-07-10,Periodic,689000,5
7292,4880,107,113,2021-07-09,Periodic,1667000,3
7293,3729,116,109,2022-12-13,Periodic,1839000,5
7294,2247,133,116,2022-12-09,Periodic,1957000,5
7295,4544,132,76,2021-11-29,Warranty,150000,4
7296,4544,132,76,2023-02-10,Repair,5741000,5
7297,1230,139,115,2024-04-29,Periodic,2180000,5
7298,1230,139,115,2022-08-04,Periodic,1851000,5
7299,1230,139,115,2023-01-27,Repair,6429000,4
7300,5094,115,64,2025-01-19,Repair,2533000,3
7301,5337,107,107,2025-06-22,Warranty,473000,4
7302,4916,110,39,2025-06-28,Body & Paint,9301000,5
7303,4916,110,39,2024-08-14,Body & Paint,10832000,5
7304,4949,101,103,2025-10-25,Repair,7285000,5
7305,1649,162,31,2024-04-21,Repair,6138000,4
7306,1649,162,31,2025-12-17,Repair,2188000,5
7307,1253,133,19,2025-01-06,Repair,3718000,5
7308,1253,133,19,2023-12-28,Periodic,1456000,5
7309,1253,133,19,2025-06-11,Periodic,1416000,3
7310,1421,180,88,2021-11-08,Body & Paint,6152000,5
7311,1421,180,88,2023-04-17,Repair,7127000,3
7312,1421,180,88,2023-10-17,Periodic,1344000,5
7313,5346,103,1,2025-12-24,Periodic,1314000,4
7314,5346,103,1,2025-10-19,Periodic,1734000,2
7315,1943,148,105,2025-12-09,Repair,3640000,4
7316,1654,106,89,2023-11-10,Periodic,1471000,5
7317,4995,107,52,2025-09-23,Warranty,322000,3
7318,3244,132,88,2025-11-14,Periodic,1624000,5
7319,4268,154,106,2025-01-04,Warranty,413000,4
7320,4268,154,106,2023-12-25,Body & Paint,5614000,3
7321,5282,146,92,2023-01-03,Periodic,856000,4
7322,5282,146,92,2023-02-16,Repair,5323000,4
7323,5282,146,92,2024-11-22,Repair,7697000,4
7324,3511,103,46,2024-01-07,Periodic,2092000,5
7325,3511,103,46,2025-05-26,Repair,6584000,5
7326,4133,120,61,2024-05-31,Warranty,127000,4
7327,4133,120,61,2022-08-23,Body & Paint,9857000,4
7328,4393,125,102,2025-03-29,Repair,6341000,4
7329,4393,125,102,2025-09-13,Periodic,997000,5
7330,2003,129,81,2025-09-08,Periodic,1654000,5
7331,5236,106,62,2023-01-05,Periodic,1195000,5
7332,3479,109,98,2022-10-01,Warranty,13000,5
7333,4777,162,80,2024-11-17,Periodic,1281000,5
7334,4777,162,80,2023-08-14,Periodic,1417000,4
7335,4777,162,80,2025-07-26,Body & Paint,10011000,5
7336,2932,115,25,2023-12-08,Periodic,865000,4
7337,2932,115,25,2022-08-19,Periodic,2120000,5
7338,2247,138,57,2025-10-02,Repair,4017000,4
7339,1629,116,98,2025-06-17,Periodic,1033000,5
7340,4005,108,29,2024-04-26,Repair,7186000,4
7341,4438,106,114,2025-07-30,Warranty,139000,5
7342,4438,106,114,2025-01-30,Periodic,2186000,4
7343,1328,101,41,2025-06-04,Periodic,2096000,5
7344,1328,101,41,2024-01-05,Periodic,1047000,4
7345,3069,114,69,2024-06-09,Repair,4067000,4
7346,3069,114,69,2024-11-30,Repair,3027000,1
7347,1106,121,68,2024-06-19,Periodic,653000,3
7348,1106,121,68,2023-11-10,Periodic,894000,5
7349,3355,121,110,2024-01-27,Periodic,1156000,1
7350,3190,103,75,2023-06-28,Periodic,1664000,4
7351,3190,103,75,2022-06-22,Periodic,1670000,4
7352,3190,103,75,2022-09-08,Periodic,654000,5
7353,5017,105,62,2024-07-07,Periodic,1522000,5
7354,5017,105,62,2025-08-30,Repair,6198000,2
7355,3660,105,63,2025-06-24,Repair,2613000,2
7356,3660,105,63,2023-09-18,Periodic,1999000,4
7357,2389,185,84,2025-03-19,Warranty,275000,5
7358,2389,185,84,2024-04-15,Periodic,1788000,5
7359,2389,185,84,2025-01-13,Periodic,1950000,2
7360,4631,104,108,2021-09-15,Periodic,1014000,5
7361,4631,104,108,2024-01-27,Repair,6775000,4
7362,3799,125,17,2023-10-22,Body & Paint,11365000,5
7363,3799,125,17,2022-11-13,Periodic,1292000,4
7364,3799,125,17,2021-03-09,Body & Paint,3553000,5
7365,4933,136,77,2022-11-13,Body & Paint,8308000,5
7366,5494,132,102,2021-07-21,Periodic,1920000,5
7367,5494,132,102,2023-04-15,Repair,5747000,4
7368,1125,103,111,2025-09-09,Repair,3249000,5
7369,2416,108,117,2023-11-06,Repair,4867000,4
7370,2416,108,117,2022-09-09,Warranty,167000,5
7371,4744,125,36,2024-04-11,Periodic,963000,1
7372,5492,176,118,2024-11-17,Body & Paint,3948000,5
7373,4871,139,21,2025-12-27,Repair,4528000,5
7374,1621,163,4,2024-07-20,Warranty,292000,5
7375,4235,105,59,2024-12-23,Periodic,722000,5
7376,3118,115,106,2024-01-10,Periodic,2044000,5
7377,3118,115,106,2024-08-03,Periodic,825000,4
7378,2896,181,26,2020-10-07,Periodic,838000,4
7379,2896,181,26,2022-07-20,Repair,7123000,5
7380,2896,181,26,2021-07-24,Periodic,910000,3
7381,2812,137,100,2024-08-18,Periodic,2084000,5
7382,4336,114,97,2022-10-10,Periodic,1789000,5
7383,4336,114,97,2021-05-27,Periodic,700000,3
7384,4336,114,97,2023-07-22,Repair,5557000,4
7385,5320,102,61,2024-10-13,Warranty,155000,5
7386,5320,102,61,2024-03-30,Periodic,923000,3
7387,5320,102,61,2024-02-07,Body & Paint,8475000,5
7388,3932,105,116,2025-09-25,Periodic,1705000,5
7389,3932,105,116,2024-09-07,Repair,6226000,3
7390,3932,105,116,2023-10-07,Repair,5154000,4
7391,3870,114,89,2025-06-03,Periodic,1037000,4
7392,4898,123,75,2024-04-08,Periodic,705000,5
7393,4898,123,75,2024-08-13,Warranty,128000,5
7394,4717,110,99,2025-12-22,Periodic,1525000,2
7395,1521,113,55,2023-03-16,Repair,7455000,4
7396,3311,110,12,2024-12-14,Warranty,150000,4
7397,5104,130,5,2024-11-03,Body & Paint,10920000,4
7398,5104,130,5,2023-09-22,Periodic,1483000,3
7399,2025,148,64,2024-01-27,Periodic,1537000,4
7400,5098,119,53,2025-06-29,Periodic,1433000,3
7401,5098,119,53,2023-05-04,Repair,2906000,4
7402,2334,124,95,2025-08-16,Body & Paint,10715000,3
7403,2334,124,95,2024-05-21,Periodic,651000,4
7404,2334,124,95,2024-01-08,Periodic,1410000,4
7405,1122,175,18,2025-02-11,Periodic,774000,4
7406,1967,102,18,2025-10-13,Body & Paint,10231000,4
7407,1967,102,18,2025-10-01,Periodic,790000,5
7408,3116,113,48,2024-05-25,Repair,2446000,5
7409,3116,113,48,2023-11-15,Repair,4830000,4
7410,3116,113,48,2024-08-30,Periodic,1692000,4
7411,5043,132,3,2025-07-03,Periodic,1545000,5
7412,5043,132,3,2023-12-13,Periodic,1389000,2
7413,1707,169,75,2024-07-22,Repair,5569000,5
7414,1021,145,46,2025-02-19,Periodic,1208000,3
7415,2327,128,6,2025-10-01,Periodic,2020000,5
7416,1369,174,117,2021-12-08,Periodic,669000,5
7417,3154,109,3,2022-04-11,Periodic,805000,2
7418,3154,109,3,2022-04-11,Repair,3230000,4
7419,3154,109,3,2024-04-27,Warranty,208000,5
7420,2524,108,24,2025-11-13,Body & Paint,8486000,4
7421,1388,138,7,2025-12-23,Periodic,2037000,4
7422,1142,167,66,2022-11-06,Periodic,1944000,5
7423,3202,107,46,2025-03-31,Periodic,1923000,5
7424,2892,115,22,2024-09-08,Periodic,616000,3
7425,2892,115,22,2024-11-05,Periodic,901000,5
7426,2780,139,63,2025-11-02,Periodic,1926000,3
7427,4517,122,19,2023-05-14,Repair,6110000,4
7428,4517,122,19,2023-05-31,Periodic,1077000,2
7429,4517,122,19,2024-05-22,Periodic,949000,4
7430,2794,136,76,2025-11-23,Repair,6461000,5
7431,3602,152,59,2025-03-23,Repair,6268000,4
7432,5450,125,54,2021-09-29,Repair,1990000,5
7433,1716,138,100,2022-09-02,Repair,7521000,4
7434,1716,138,100,2022-08-25,Periodic,1741000,4
7435,5389,115,41,2024-06-27,Body & Paint,7630000,4
7436,1409,108,108,2025-09-24,Periodic,1933000,4
7437,1982,178,46,2024-03-22,Periodic,1785000,3
7438,1982,178,46,2023-04-04,Repair,5300000,5
7439,1222,109,95,2025-05-27,Periodic,999000,4
7440,3294,158,106,2022-03-30,Periodic,776000,5
7441,3294,158,106,2023-06-12,Repair,6935000,3
7442,3294,158,106,2021-08-20,Repair,6849000,3
7443,3345,117,21,2025-12-30,Periodic,1496000,2
7444,3345,117,21,2025-01-17,Repair,7217000,1
7445,3653,101,42,2025-05-21,Body & Paint,6515000,5
7446,3653,101,42,2025-02-21,Periodic,1875000,4
7447,2297,123,60,2024-02-26,Repair,2281000,4
7448,4991,103,48,2024-10-21,Periodic,1270000,5
7449,4991,103,48,2025-04-12,Periodic,1802000,4
7450,1321,117,51,2023-01-27,Periodic,924000,5
7451,1321,117,51,2022-04-21,Body & Paint,4031000,5
7452,1837,114,10,2024-07-22,Periodic,1022000,4
7453,1837,114,10,2025-02-18,Periodic,1188000,4
7454,4641,147,80,2023-12-23,Warranty,336000,4
7455,4641,147,80,2023-09-24,Warranty,132000,5
7456,3136,118,60,2020-10-14,Periodic,1006000,4
7457,2936,177,51,2023-03-21,Periodic,1485000,4
7458,2936,177,51,2024-10-08,Warranty,345000,4
7459,1025,102,19,2025-09-21,Periodic,1495000,4
7460,1025,102,19,2025-12-06,Warranty,463000,5
7461,2536,109,97,2025-05-31,Warranty,200000,5
7462,2536,109,97,2023-12-02,Repair,3534000,1
7463,1549,117,59,2025-11-09,Periodic,1116000,5
7464,4046,165,18,2023-06-13,Repair,1925000,5
7465,4046,165,18,2024-10-17,Periodic,1649000,3
7466,4046,165,18,2021-08-03,Repair,7225000,5
7467,4302,107,60,2025-11-04,Repair,5654000,5
7468,4302,107,60,2025-11-13,Repair,6730000,4
7469,2240,112,58,2023-08-23,Periodic,951000,5
7470,2240,112,58,2025-08-19,Periodic,1628000,5
7471,2240,112,58,2023-09-04,Repair,2631000,5
7472,4854,106,34,2023-09-01,Periodic,1018000,3
7473,4932,117,38,2024-01-31,Repair,2914000,5
7474,1868,130,3,2024-12-31,Periodic,1122000,4
7475,5048,172,65,2022-08-16,Repair,3622000,5
7476,4907,102,18,2024-02-03,Warranty,429000,5
7477,4907,102,18,2024-10-21,Body & Paint,6648000,2
7478,1587,103,20,2021-11-08,Periodic,1165000,4
7479,1587,103,20,2021-10-19,Periodic,1604000,5
7480,1254,101,72,2024-03-12,Repair,5171000,5
7481,3915,131,28,2023-03-06,Body & Paint,5998000,5
7482,3915,131,28,2022-10-01,Periodic,1483000,4
7483,5000,125,94,2024-11-17,Periodic,1474000,4
7484,2582,103,98,2024-02-21,Repair,3156000,4
7485,2582,103,98,2025-07-11,Repair,2064000,4
7486,2582,103,98,2024-08-30,Repair,4224000,3
7487,4084,134,115,2025-09-08,Periodic,1213000,5
7488,4084,134,115,2024-02-02,Periodic,786000,5
7489,4084,134,115,2025-02-14,Periodic,908000,5
7490,3053,119,53,2025-10-25,Periodic,1890000,4
7491,3053,119,53,2023-12-16,Repair,2311000,3
7492,2971,111,39,2023-05-10,Repair,4708000,4
7493,2971,111,39,2023-04-27,Periodic,1092000,1
7494,3353,130,12,2025-06-13,Repair,2082000,5
7495,4156,112,21,2024-10-21,Body & Paint,11281000,4
7496,2978,149,19,2025-01-07,Periodic,1065000,5
7497,4122,177,104,2022-12-28,Periodic,1966000,4
7498,4122,177,104,2023-09-16,Repair,1501000,1
7499,5377,109,87,2024-06-02,Repair,4910000,4
7500,5377,109,87,2023-02-05,Repair,3250000,5
7501,5377,109,87,2023-11-26,Periodic,1596000,3
7502,3219,169,71,2025-04-15,Periodic,1492000,5
