financing_id,transaction_id,financing_company,down_payment,loan_amount,tenor_months,interest_rate,installment_amount
9062,500089,Adira Finance,197600000,640894000,48,5.85,16476000
9063,500092,Maybank Finance,65500000,151283000,48,6.76,4003000
9064,500093,BCA Finance,228300000,496974000,24,9.40,24600000
9065,500094,Mandiri Tunas Finance,110800000,207992000,60,6.31,4560000
9066,500095,BCA Finance,95000000,221905000,48,8.28,6154000
9067,500096,BCA Finance,138300000,379404000,12,7.93,34124000
9068,500098,BCA Finance,109600000,212078000,12,4.04,18387000
9069,500102,Mandiri Tunas Finance,142400000,304486000,48,7.42,8226000
9070,500104,BCA Finance,96900000,365193000,60,5.22,7675000
9071,500107,Adira Finance,64500000,123090000,12,4.27,10695000
9072,500108,BCA Finance,74400000,251718000,12,4.57,21935000
9073,500111,BFI Finance,165400000,333323000,60,4.73,6869000
9074,500112,Astra Credit,151100000,281467000,60,4.75,5805000
9075,500113,Mandiri Tunas Finance,84300000,232050000,36,9.41,8265000
9076,500114,Astra Credit,78500000,240736000,36,5.38,7766000
9077,500115,Astra Credit,45100000,150704000,36,6.81,5041000
9078,500116,BFI Finance,108900000,214665000,36,6.45,7116000
9079,500119,BFI Finance,67700000,249094000,12,9.44,22717000
9080,500120,Adira Finance,52000000,193865000,48,3.55,4612000
9081,500121,Mandiri Tunas Finance,72700000,142640000,60,4.28,2886000
9082,500122,Mandiri Tunas Finance,146700000,430833000,36,3.86,13353000
9083,500123,FIFGROUP,137600000,489661000,48,9.42,14045000
9084,500126,Adira Finance,98300000,365569000,48,5.08,9163000
9085,500127,Maybank Finance,163000000,347156000,36,3.56,10673000
9086,500128,Astra Credit,93800000,307798000,36,8.68,10776000
9087,500129,Astra Credit,64400000,178912000,36,6.61,5955000
9088,500130,BFI Finance,559600000,1444394000,24,5.27,66526000
9089,500131,Astra Credit,71900000,200827000,36,6.16,6609000
9090,500135,Adira Finance,427200000,1058535000,48,6.33,27636000
9091,500138,FIFGROUP,114500000,259348000,60,6.25,5673000
9092,500140,FIFGROUP,277900000,530846000,24,6.37,24936000
9093,500141,BFI Finance,80200000,252689000,24,5.60,11707000
9094,500142,FIFGROUP,85400000,238498000,48,8.02,6562000
9095,500143,BCA Finance,201600000,501363000,12,6.69,44575000
9096,500144,Maybank Finance,88800000,177378000,60,7.41,4051000
9097,500145,Mandiri Tunas Finance,239200000,927410000,48,8.58,25952000
9098,500146,Maybank Finance,170500000,410585000,60,5.42,8697000
9099,500147,Maybank Finance,65600000,196360000,48,5.84,5046000
9100,500149,BFI Finance,80800000,183269000,24,6.35,8606000
9101,500150,BFI Finance,60500000,196798000,48,8.37,5472000
9102,500151,BCA Finance,160900000,336602000,36,4.68,10662000
9103,500152,BCA Finance,116100000,364308000,12,6.02,32186000
9104,500153,Astra Credit,183900000,629730000,60,4.56,12888000
9105,500156,BFI Finance,56500000,163502000,60,7.33,3723000
9106,500157,BCA Finance,236400000,440922000,12,5.08,38610000
9107,500158,FIFGROUP,169100000,494014000,48,9.40,14161000
9108,500160,Adira Finance,52700000,126343000,36,3.82,3911000
9109,500163,BFI Finance,96100000,192722000,60,8.78,4622000
9110,500164,Maybank Finance,81800000,253309000,48,5.78,6497000
9111,500165,Astra Credit,240200000,626821000,24,3.61,28003000
9112,500167,Adira Finance,171900000,668814000,60,4.76,13799000
9113,500169,Astra Credit,58300000,154043000,24,3.54,6872000
9114,500170,BCA Finance,146300000,293482000,12,4.09,25457000
9115,500171,FIFGROUP,262600000,512180000,12,4.53,44615000
9116,500173,Maybank Finance,154700000,298291000,60,9.30,7283000
9117,500175,Adira Finance,84800000,228331000,12,8.52,20648000
9118,500176,BCA Finance,131700000,294318000,48,5.53,7487000
9119,500178,FIFGROUP,104000000,198808000,12,5.08,17408000
9120,500179,FIFGROUP,240000000,575295000,60,6.73,12814000
9121,500181,Mandiri Tunas Finance,100000000,202253000,12,6.17,17894000
9122,500182,FIFGROUP,98800000,229982000,24,7.08,10939000
9123,500183,Astra Credit,58100000,229723000,48,5.59,5856000
9124,500184,Astra Credit,130400000,313822000,48,6.39,8209000
9125,500185,FIFGROUP,60700000,218354000,24,3.56,9745000
9126,500186,BCA Finance,245400000,469995000,48,8.97,13304000
9127,500187,Maybank Finance,136400000,369316000,48,7.05,9863000
9128,500188,Maybank Finance,189500000,625906000,12,7.96,56310000
9129,500189,Mandiri Tunas Finance,167700000,642156000,48,7.81,17557000
9130,500191,BCA Finance,103900000,212672000,12,4.30,18484000
9131,500193,Astra Credit,59100000,113061000,60,6.49,2495000
9132,500195,Mandiri Tunas Finance,210000000,540138000,48,8.83,15227000
9133,500196,Maybank Finance,270900000,563931000,36,7.99,19419000
9134,500197,Maybank Finance,181200000,653853000,24,3.53,29167000
9135,500198,Adira Finance,119300000,365437000,48,4.46,8971000
9136,500199,BCA Finance,137300000,283501000,12,4.20,24617000
9137,500200,FIFGROUP,139700000,284098000,12,8.76,25748000
9138,500202,FIFGROUP,66500000,141292000,24,6.34,6633000
9139,500203,Astra Credit,104400000,214503000,60,3.79,4252000
9140,500204,FIFGROUP,57900000,119367000,60,4.02,2389000
9141,500207,Adira Finance,86300000,214732000,48,8.19,5939000
9142,500210,Mandiri Tunas Finance,112700000,294115000,48,3.74,7044000
9143,500211,Mandiri Tunas Finance,66500000,259174000,24,9.33,12813000
9144,500213,FIFGROUP,74300000,270577000,60,6.54,5984000
9145,500214,Astra Credit,56500000,158063000,60,5.82,3400000
9146,500215,FIFGROUP,101200000,205715000,36,4.53,6490000
9147,500216,BFI Finance,258100000,602927000,60,8.22,14178000
9148,500217,Astra Credit,62800000,124124000,48,6.81,3290000
9149,500219,FIFGROUP,90900000,203361000,36,3.84,6299000
9150,500220,Maybank Finance,181000000,468794000,36,7.74,16045000
9151,500221,FIFGROUP,259500000,556794000,36,6.42,18445000
9152,500223,Maybank Finance,83200000,212282000,48,4.86,5282000
9153,500224,Astra Credit,142800000,322068000,48,5.02,8057000
9154,500225,Adira Finance,123100000,374624000,48,5.56,9540000
9155,500226,FIFGROUP,51600000,196485000,48,4.47,4825000
9156,500227,FIFGROUP,73900000,204488000,24,6.84,9685000
9157,500228,Astra Credit,214000000,603293000,48,9.40,17294000
9158,500231,BFI Finance,87900000,340449000,12,3.54,29375000
9159,500232,Adira Finance,93100000,242120000,36,8.63,8466000
9160,500234,BFI Finance,41600000,151429000,48,3.85,3640000
9161,500236,Mandiri Tunas Finance,95100000,221472000,36,4.34,6952000
9162,500237,BCA Finance,164300000,571075000,36,7.71,19532000
9163,500240,FIFGROUP,266100000,575724000,24,4.87,26324000
9164,500242,Maybank Finance,155200000,332756000,60,4.77,6868000
9165,500243,BFI Finance,248900000,628000000,36,9.41,22369000
9166,500244,Astra Credit,146800000,280106000,48,9.32,8011000
9167,500245,Adira Finance,89900000,263857000,60,7.96,6147000
9168,500246,Adira Finance,268900000,582581000,48,8.62,16321000
9169,500247,FIFGROUP,72800000,230119000,36,7.22,7776000
9170,500248,BCA Finance,45100000,165578000,60,3.97,3307000
9171,500249,FIFGROUP,170900000,668038000,36,9.18,23667000
9172,500251,Maybank Finance,57400000,152612000,48,6.58,4016000
9173,500252,Maybank Finance,81500000,196555000,24,5.83,9144000
9174,500254,Mandiri Tunas Finance,1160200000,3530438000,60,5.38,74668000
9175,500255,Adira Finance,129000000,305343000,60,9.14,7414000
9176,500257,BCA Finance,217700000,666970000,60,8.13,15634000
9177,500258,BFI Finance,90800000,214450000,48,4.66,5300000
9178,500259,Mandiri Tunas Finance,150600000,297729000,24,7.75,14328000
9179,500260,Maybank Finance,288300000,579498000,24,7.51,27772000
9180,500261,Maybank Finance,78100000,184193000,36,8.36,6399000
9181,500262,Astra Credit,75300000,239385000,24,6.82,11334000
9182,500265,Maybank Finance,156100000,434198000,12,7.22,38795000
9183,500268,Astra Credit,64100000,255802000,60,5.45,5425000
9184,500269,Maybank Finance,66000000,201732000,48,7.32,5433000
9185,500270,BFI Finance,89400000,193317000,36,4.49,6093000
9186,500271,Astra Credit,53300000,202444000,12,8.65,18329000
9187,500272,FIFGROUP,80200000,218057000,60,7.34,4968000
9188,500273,BFI Finance,65200000,151472000,60,6.27,3315000
9189,500274,BFI Finance,70400000,215203000,48,6.21,5597000
9190,500275,BCA Finance,242900000,559075000,24,6.18,26174000
9191,500277,BFI Finance,125400000,279417000,12,5.16,24486000
9192,500279,Adira Finance,128500000,466904000,60,5.95,10096000
9193,500280,Astra Credit,51600000,167181000,60,8.32,3945000
9194,500282,BFI Finance,94500000,217632000,48,8.24,6028000
9195,500285,BCA Finance,138400000,370535000,60,9.35,9062000
9196,500287,Adira Finance,88400000,218182000,36,8.68,7638000
9197,500289,FIFGROUP,110300000,289522000,24,7.20,13800000
9198,500290,BFI Finance,38100000,136725000,36,6.36,4522000
9199,500291,Astra Credit,270900000,535959000,24,6.32,25154000
9200,500294,Adira Finance,67400000,174913000,36,8.19,6052000
9201,500295,FIFGROUP,213200000,469672000,60,4.64,9643000
9202,500296,Maybank Finance,66100000,250472000,36,6.73,8362000
9203,500300,FIFGROUP,222500000,493672000,12,8.29,44549000
9204,500301,BCA Finance,132100000,282485000,48,5.12,7090000
9205,500303,FIFGROUP,129800000,300769000,48,3.77,7210000
9206,500304,BFI Finance,57700000,216470000,24,9.35,10706000
9207,500306,BCA Finance,245000000,588721000,60,5.80,12657000
9208,500307,Maybank Finance,84500000,220639000,60,9.12,5354000
9209,500308,BFI Finance,118200000,381300000,48,6.57,10031000
9210,500309,FIFGROUP,78100000,262115000,48,8.65,7350000
9211,500312,FIFGROUP,115900000,314558000,60,4.05,6304000
9212,500313,Mandiri Tunas Finance,70500000,250179000,48,6.67,6602000
9213,500314,Astra Credit,159000000,335394000,12,5.99,29623000
9214,500315,Maybank Finance,209000000,685105000,12,3.61,59153000
9215,500316,Adira Finance,72000000,238245000,48,9.23,6795000
9216,500318,FIFGROUP,60800000,137446000,60,3.54,2696000
9217,500319,Maybank Finance,375300000,1133190000,12,3.71,97935000
9218,500322,BCA Finance,56200000,162248000,60,9.24,3953000
9219,500323,Mandiri Tunas Finance,99100000,361550000,24,7.59,17351000
9220,500325,Maybank Finance,41900000,145135000,12,6.51,12881000
9221,500326,Maybank Finance,89900000,219568000,48,7.96,6030000
9222,500328,FIFGROUP,55000000,143690000,36,9.45,5122000
9223,500330,BCA Finance,102700000,297788000,36,4.03,9271000
9224,500333,FIFGROUP,857300000,3254584000,60,4.20,65634000
9225,500334,Adira Finance,298200000,830892000,24,4.54,37764000
9226,500335,BCA Finance,62700000,193599000,12,6.45,17173000
9227,500336,BFI Finance,199000000,482540000,24,8.03,23334000
9228,500339,Adira Finance,66300000,261816000,60,6.97,5884000
9229,500341,Astra Credit,129800000,269911000,12,6.72,24004000
9230,500343,Maybank Finance,530800000,1508603000,24,7.68,72513000
9231,500344,FIFGROUP,90800000,242311000,36,5.59,7859000
9232,500345,BCA Finance,259200000,594390000,36,7.97,20458000
9233,500346,Mandiri Tunas Finance,71400000,245949000,36,9.19,8715000
9234,500348,BFI Finance,88400000,232057000,48,8.36,6451000
9235,500349,BFI Finance,72900000,234015000,24,6.27,10973000
9236,500351,Maybank Finance,71600000,238867000,48,6.73,6316000
9237,500354,Mandiri Tunas Finance,89300000,166555000,12,5.93,14702000
9238,500355,Adira Finance,78000000,176079000,60,6.66,3911000
9239,500357,Astra Credit,94700000,209440000,12,5.33,18383000
9240,500358,Mandiri Tunas Finance,97700000,218872000,24,6.87,10372000
9241,500359,Adira Finance,237000000,598386000,36,5.57,19399000
9242,500360,Astra Credit,93100000,219809000,24,6.52,10353000
9243,500361,Astra Credit,319300000,628418000,36,6.68,20954000
9244,500362,BFI Finance,75100000,182642000,24,7.11,8692000
9245,500363,FIFGROUP,61900000,188405000,48,7.04,5030000
9246,500364,Astra Credit,107100000,297495000,24,4.89,13607000
9247,500367,Maybank Finance,181600000,413249000,48,9.06,11729000
9248,500368,Mandiri Tunas Finance,64500000,193797000,12,7.74,17399000
9249,500369,FIFGROUP,281000000,536626000,48,5.93,13831000
9250,500370,BCA Finance,220800000,590499000,48,8.84,16652000
9251,500372,Astra Credit,109700000,324532000,48,6.48,8513000
9252,500373,Mandiri Tunas Finance,83600000,333427000,24,6.13,15596000
9253,500374,Maybank Finance,47700000,152655000,24,6.12,7139000
9254,500375,Astra Credit,1341600000,2801475000,48,9.01,79398000
9255,500376,Adira Finance,101500000,273569000,36,7.03,9201000
9256,500377,FIFGROUP,50400000,127755000,12,7.61,11456000
9257,500382,Adira Finance,492200000,914503000,48,3.63,21818000
9258,500383,Maybank Finance,59400000,128079000,12,6.58,11375000
9259,500384,FIFGROUP,58200000,185334000,12,4.33,16113000
9260,500387,Mandiri Tunas Finance,106500000,342384000,48,7.34,9227000
9261,500388,Mandiri Tunas Finance,39700000,129242000,48,6.23,3363000
9262,500389,BCA Finance,301100000,1119700000,48,6.33,29233000
9263,500390,Adira Finance,139700000,336157000,36,8.91,11833000
9264,500392,BCA Finance,84300000,235602000,60,8.98,5689000
9265,500393,Mandiri Tunas Finance,155300000,482395000,48,5.17,12128000
9266,500394,BCA Finance,140600000,382099000,24,6.80,18086000
9267,500395,Mandiri Tunas Finance,89200000,225263000,12,4.87,19686000
9268,500396,Maybank Finance,624900000,1557360000,60,4.79,32172000
9269,500399,Maybank Finance,157200000,623130000,24,4.35,28222000
9270,500400,BCA Finance,81300000,222396000,36,4.85,7076000
9271,500401,Maybank Finance,168700000,655697000,12,7.70,58848000
9272,500402,BCA Finance,605500000,1950497000,48,5.43,49461000
9273,500403,BCA Finance,66700000,245987000,36,4.30,7714000
9274,500404,Adira Finance,68900000,193726000,12,7.41,17340000
9275,500405,BCA Finance,48100000,176897000,36,5.04,5656000
9276,500409,BFI Finance,43600000,139106000,12,3.96,12051000
9277,500410,BCA Finance,197000000,397405000,36,8.45,13837000
9278,500412,FIFGROUP,118100000,372076000,12,6.52,33027000
9279,500413,BFI Finance,73200000,175773000,48,4.15,4269000
9280,500414,Maybank Finance,113700000,358272000,36,4.87,11405000
9281,500415,BCA Finance,235100000,463312000,24,4.14,20903000
9282,500416,FIFGROUP,151900000,332171000,24,9.17,16378000
9283,500418,BFI Finance,102500000,337837000,24,7.07,16066000
9284,500420,FIFGROUP,238900000,583277000,60,4.69,12000000
9285,500422,BFI Finance,137800000,274343000,24,6.19,12846000
9286,500423,Mandiri Tunas Finance,64700000,193042000,24,3.77,8649000
9287,500425,BFI Finance,257200000,613928000,60,6.40,13506000
9288,500426,BFI Finance,104900000,198907000,12,7.91,17886000
9289,500428,Astra Credit,64500000,148842000,24,3.57,6644000
9290,500429,FIFGROUP,62600000,235102000,48,8.76,6614000
9291,500430,FIFGROUP,96500000,319861000,36,5.79,10428000
9292,500431,BFI Finance,257600000,508744000,60,6.69,11315000
9293,500432,FIFGROUP,130200000,274839000,60,7.82,6371000
9294,500433,Adira Finance,99100000,217139000,48,7.06,5801000
9295,500434,Astra Credit,78700000,192251000,12,8.50,17382000
9296,500435,Adira Finance,37700000,150556000,36,8.54,5253000
9297,500436,Mandiri Tunas Finance,258100000,560525000,36,5.53,18153000
9298,500437,FIFGROUP,57300000,117414000,24,8.42,5716000
9299,500439,Maybank Finance,99600000,277467000,12,4.14,24079000
9300,500440,Mandiri Tunas Finance,46400000,124207000,12,4.10,10774000
9301,500441,BCA Finance,81500000,229411000,48,9.35,6566000
9302,500442,Mandiri Tunas Finance,161600000,462109000,48,6.66,12191000
9303,500443,Adira Finance,215000000,643918000,48,5.25,16232000
9304,500445,FIFGROUP,205000000,454562000,12,4.10,39433000
9305,500447,BCA Finance,200000000,380419000,60,9.36,9307000
9306,500449,BFI Finance,60000000,125259000,24,3.66,5601000
9307,500450,BFI Finance,248500000,569459000,60,6.49,12570000
9308,500451,BCA Finance,64100000,235600000,60,6.44,5191000
9309,500453,Mandiri Tunas Finance,121800000,315096000,24,5.77,14644000
9310,500454,BCA Finance,72400000,136169000,24,5.10,6252000
9311,500455,Maybank Finance,71200000,202637000,60,5.91,4375000
9312,500457,BCA Finance,200600000,424663000,48,5.06,10637000
9313,500458,BFI Finance,102900000,351201000,48,3.78,8422000
9314,500459,Mandiri Tunas Finance,162200000,338632000,60,6.72,7540000
9315,500460,Maybank Finance,69100000,146240000,12,4.12,12688000
9316,500462,Mandiri Tunas Finance,79700000,214228000,24,8.82,10500000
9317,500463,BFI Finance,133700000,308857000,36,5.13,9899000
9318,500464,BCA Finance,131500000,330260000,12,8.67,29907000
9319,500465,BFI Finance,88800000,316683000,48,7.34,8534000
9320,500466,FIFGROUP,41200000,163706000,60,6.76,3650000
9321,500467,FIFGROUP,189900000,661692000,48,8.69,18577000
9322,500468,FIFGROUP,63000000,140019000,24,4.73,6386000
9323,500469,Adira Finance,181400000,498808000,24,6.23,23373000
9324,500470,BFI Finance,93600000,212871000,48,4.70,5268000
9325,500471,BCA Finance,155900000,337495000,24,9.14,16632000
9326,500472,Astra Credit,58600000,123440000,12,8.82,11193000
9327,500474,FIFGROUP,197600000,485383000,60,7.19,10997000
9328,500476,Maybank Finance,278800000,559250000,24,9.42,27692000
9329,500477,Adira Finance,168800000,314716000,48,5.43,7980000
9330,500478,Maybank Finance,100500000,228948000,60,5.11,4790000
9331,500479,FIFGROUP,215900000,490948000,36,7.22,16591000
9332,500480,Maybank Finance,287100000,568488000,36,7.67,19424000
9333,500481,BFI Finance,68600000,221887000,12,9.16,20184000
9334,500482,BCA Finance,58000000,134807000,60,3.59,2650000
9335,500483,Maybank Finance,68100000,225384000,48,9.46,6472000
9336,500484,BCA Finance,97800000,247299000,48,8.76,6957000
9337,500485,BCA Finance,52200000,200436000,12,4.55,17462000
9338,500486,Mandiri Tunas Finance,242900000,583606000,60,5.22,12265000
9339,500487,Maybank Finance,76000000,185849000,36,7.39,6306000
9340,500488,Astra Credit,76100000,238585000,24,6.95,11322000
9341,500489,Mandiri Tunas Finance,91600000,238181000,12,7.78,21392000
9342,500490,BCA Finance,58000000,141911000,48,4.10,3441000
9343,500492,BCA Finance,115100000,313138000,36,9.31,11127000
9344,500494,BCA Finance,40100000,151486000,60,8.01,3535000
9345,500495,Maybank Finance,94200000,365229000,60,4.95,7593000
9346,500497,Maybank Finance,82000000,169970000,12,9.00,15438000
9347,500500,Adira Finance,149900000,354151000,48,9.32,10128000
9348,500501,BCA Finance,259300000,546893000,36,4.40,17196000
9349,500502,BCA Finance,136200000,321897000,48,9.04,9131000
9350,500503,Adira Finance,114700000,357494000,48,4.42,8764000
9351,500504,BCA Finance,204400000,669725000,12,3.53,57780000
9352,500506,Adira Finance,91300000,198077000,60,5.06,4136000
9353,500507,Maybank Finance,212800000,481283000,24,8.45,23442000
9354,500509,BFI Finance,81000000,174411000,60,7.07,3934000
9355,500511,Maybank Finance,652700000,2372827000,12,8.46,214464000
9356,500512,Maybank Finance,193200000,594900000,24,8.50,29001000
9357,500513,BCA Finance,132300000,287058000,36,9.08,10145000
9358,500514,Adira Finance,134600000,479230000,60,9.13,11633000
9359,500515,Mandiri Tunas Finance,191900000,626614000,24,7.12,29826000
9360,500517,Astra Credit,172900000,691457000,48,3.74,16560000
9361,500518,Mandiri Tunas Finance,96900000,200580000,24,6.03,9365000
9362,500519,FIFGROUP,81300000,222618000,48,4.67,5504000
9363,500521,Maybank Finance,183100000,642962000,12,8.13,57936000
9364,500522,BFI Finance,110300000,321490000,48,7.55,8720000
9365,500524,Astra Credit,288800000,557020000,36,8.23,19293000
9366,500525,Adira Finance,109600000,325964000,60,7.70,7524000
9367,500526,BFI Finance,60300000,121851000,12,6.85,10849000
9368,500527,FIFGROUP,65400000,206883000,24,7.94,9989000
9369,500529,Mandiri Tunas Finance,97900000,228329000,36,5.63,7413000
9370,500530,FIFGROUP,120500000,301744000,36,9.20,10695000
9371,500532,Astra Credit,112600000,348827000,24,5.29,16072000
9372,500533,FIFGROUP,82000000,309164000,48,6.70,8167000
9373,500534,Mandiri Tunas Finance,149200000,304568000,48,5.15,7652000
9374,500535,FIFGROUP,290200000,562169000,24,3.72,25166000
9375,500536,FIFGROUP,89600000,213208000,24,4.13,9617000
9376,500537,FIFGROUP,96200000,330595000,24,7.63,15876000
9377,500539,FIFGROUP,105900000,227433000,24,4.03,10240000
9378,500540,Astra Credit,91300000,329057000,60,4.87,6819000
9379,500541,BCA Finance,58000000,189641000,48,4.19,4613000
9380,500542,Astra Credit,130300000,473984000,48,9.28,13540000
9381,500543,BCA Finance,66100000,232379000,12,6.77,20675000
9382,500544,Astra Credit,86400000,166458000,24,5.95,7761000
9383,500547,Maybank Finance,66700000,215573000,48,7.25,5793000
9384,500549,Adira Finance,114000000,302139000,60,7.65,6961000
9385,500551,BCA Finance,576200000,1202797000,24,7.04,57172000
9386,500552,Maybank Finance,80800000,200030000,12,9.37,18231000
9387,500557,Mandiri Tunas Finance,90000000,321144000,24,6.01,14989000
9388,500559,FIFGROUP,64700000,178501000,60,8.50,4239000
9389,500561,BFI Finance,63100000,191312000,60,4.99,3984000
9390,500562,BCA Finance,106700000,204655000,24,8.13,9913000
9391,500563,Mandiri Tunas Finance,122300000,488755000,12,4.52,42570000
9392,500564,Adira Finance,534200000,1085734000,60,4.41,22085000
9393,500565,BCA Finance,233100000,615273000,48,5.06,15412000
9394,500566,Adira Finance,95700000,182910000,24,4.25,8269000
9395,500567,Adira Finance,453600000,1016151000,12,7.97,91428000
9396,500568,BFI Finance,117100000,333227000,36,8.74,11683000
9397,500569,Astra Credit,95900000,245536000,60,6.15,5350000
9398,500571,FIFGROUP,75500000,249397000,60,7.79,5775000
9399,500572,FIFGROUP,269200000,554198000,36,5.90,18119000
9400,500573,BFI Finance,82500000,239178000,48,8.74,6724000
9401,500575,Mandiri Tunas Finance,306100000,605765000,36,5.76,19734000
9402,500576,Adira Finance,161500000,529697000,60,7.76,12253000
9403,500577,Astra Credit,107900000,285595000,48,9.16,8129000
9404,500580,Maybank Finance,122700000,362037000,12,7.40,32402000
9405,500582,Astra Credit,52300000,164039000,36,8.09,5662000
9406,500586,FIFGROUP,230500000,473795000,36,9.06,16738000
9407,500587,Mandiri Tunas Finance,144400000,577877000,24,5.29,26625000
9408,500588,Adira Finance,124400000,366775000,48,9.28,10477000
9409,500589,BFI Finance,78300000,254811000,36,7.00,8564000
9410,500590,Astra Credit,93000000,214359000,60,5.07,4478000
9411,500593,Adira Finance,134800000,318635000,36,4.85,10138000
9412,500594,BFI Finance,61500000,122538000,36,8.42,4263000
9413,500595,Maybank Finance,98900000,379288000,48,5.90,9766000
9414,500596,Mandiri Tunas Finance,223500000,598011000,60,4.01,11965000
9415,500598,BCA Finance,119400000,333591000,12,6.05,29481000
9416,500599,FIFGROUP,66700000,235553000,36,6.29,7777000
9417,500601,BCA Finance,82400000,240055000,24,4.65,10932000
9418,500602,BCA Finance,328600000,1024379000,12,9.28,93286000
9419,500603,BFI Finance,55300000,149162000,48,9.35,4269000
9420,500604,BCA Finance,111800000,318436000,36,4.47,10031000
9421,500606,Maybank Finance,146300000,356974000,60,8.08,8353000
9422,500607,Adira Finance,41600000,156646000,36,8.31,5436000
9423,500609,Adira Finance,97000000,195707000,12,7.47,17527000
9424,500610,BFI Finance,68600000,241867000,60,5.27,5093000
9425,500613,BCA Finance,40100000,160477000,36,7.23,5424000
9426,500614,BCA Finance,65800000,147209000,12,3.54,12701000
9427,500616,FIFGROUP,51200000,127954000,60,7.29,2909000
9428,500617,Adira Finance,96900000,227664000,60,8.69,5443000
9429,500619,Maybank Finance,108700000,394463000,12,5.54,34693000
9430,500623,Astra Credit,78700000,229769000,60,4.09,4612000
9431,500625,Maybank Finance,95900000,305587000,60,3.58,6004000
9432,500627,FIFGROUP,236900000,449635000,60,5.96,9727000
9433,500628,FIFGROUP,146200000,276044000,60,5.59,5886000
